Token Mapping Log for bert-base-chinese
Total BERT Tokens: 11466
Total Maestro Tokens: 176

Mapping for indices 128-255:

Index | Maestro Token | Maestro % | Maestro Count | BERT Token | BERT % | BERT Count
------------------------------------------------------------------------------------------
  128 | NOTE_ON_62    |    0.00% |       154792 | ，          |  0.00% |     298007
  129 | NOTE_OFF_62   |    0.57% |       154792 | 及          |  0.57% |      17223
  130 | NOTE_ON_67    |    1.14% |       151904 | 科          |  1.13% |      12099
  131 | NOTE_OFF_67   |    1.70% |       151904 | 原          |  1.70% |       9014
  132 | NOTE_ON_65    |    2.27% |       148218 | 卡          |  2.28% |       6941
  133 | NOTE_OFF_65   |    2.84% |       148218 | 夫          |  2.84% |       5759
  134 | NOTE_ON_60    |    3.41% |       146485 | 属          |  3.41% |       4793
  135 | NOTE_OFF_60   |    3.98% |       146485 | 兵          |  3.98% |       3998
  136 | NOTE_ON_69    |    4.55% |       144060 | 哈          |  4.54% |       3505
  137 | NOTE_OFF_69   |    5.11% |       144060 | 广          |  5.11% |       3124
  138 | NOTE_ON_64    |    5.68% |       141980 | 均          |  5.68% |       2807
  139 | NOTE_OFF_64   |    6.25% |       141980 | 想          |  6.25% |       2496
  140 | NOTE_ON_72    |    6.82% |       136147 | 息          |  6.82% |       2231
  141 | NOTE_OFF_72   |    7.39% |       136147 | 陳          |  7.39% |       2029
  142 | NOTE_ON_63    |    7.95% |       131161 | 抗          |  7.95% |       1872
  143 | NOTE_OFF_63   |    8.52% |       131161 | 薩          |  8.52% |       1719
  144 | NOTE_ON_74    |    9.09% |       130051 | 企          |  9.09% |       1577
  145 | NOTE_OFF_74   |    9.66% |       130051 | 仁          |  9.66% |       1441
  146 | NOTE_ON_57    |   10.23% |       128424 | 媒          | 10.23% |       1311
  147 | NOTE_OFF_57   |   10.80% |       128424 | 妻          | 10.80% |       1206
  148 | NOTE_ON_58    |   11.36% |       126437 | 热          | 11.36% |       1105
  149 | NOTE_OFF_58   |   11.93% |       126437 | 恐          | 11.93% |       1015
  150 | NOTE_ON_70    |   12.50% |       124788 | 驗          | 12.50% |        938
  151 | NOTE_OFF_70   |   13.07% |       124788 | 远          | 13.06% |        876
  152 | NOTE_ON_68    |   13.64% |       124762 | 汽          | 13.64% |        802
  153 | NOTE_OFF_68   |   14.20% |       124762 | 紐          | 14.21% |        737
  154 | NOTE_ON_55    |   14.77% |       124397 | 享          | 14.77% |        693
  155 | NOTE_OFF_55   |   15.34% |       124397 | 亂          | 15.34% |        637
  156 | NOTE_ON_61    |   15.91% |       122697 | 訂          | 15.91% |        596
  157 | NOTE_OFF_61   |   16.48% |       122697 | 鏡          | 16.47% |        560
  158 | NOTE_ON_71    |   17.05% |       116588 | 寬          | 17.04% |        527
  159 | NOTE_OFF_71   |   17.61% |       116588 | 阪          | 17.62% |        496
  160 | NOTE_ON_66    |   18.18% |       116410 | 32         | 18.18% |        458
  161 | NOTE_OFF_66   |   18.75% |       116410 | 55         | 18.75% |        432
  162 | NOTE_ON_59    |   19.32% |       114567 | 残          | 19.32% |        400
  163 | NOTE_OFF_59   |   19.89% |       114567 | 喀          | 19.88% |        375
  164 | NOTE_ON_73    |   20.45% |       113463 | 洗          | 20.45% |        356
  165 | NOTE_OFF_73   |   21.02% |       113463 | 叔          | 21.02% |        337
  166 | NOTE_ON_76    |   21.59% |       109753 | 契          | 21.59% |        319
  167 | NOTE_OFF_76   |   22.16% |       109753 | 68         | 22.16% |        301
  168 | NOTE_ON_56    |   22.73% |       109079 | 抓          | 22.73% |        286
  169 | NOTE_OFF_56   |   23.30% |       109079 | 飲          | 23.29% |        271
  170 | NOTE_ON_75    |   23.86% |       108413 | 憑          | 23.86% |        257
  171 | NOTE_OFF_75   |   24.43% |       108413 | 抑          | 24.43% |        243
  172 | NOTE_ON_77    |   25.00% |       107537 | 淑          | 25.00% |        231
  173 | NOTE_OFF_77   |   25.57% |       107537 | 壮          | 25.57% |        219
  174 | NOTE_ON_53    |   26.14% |       104722 | 滾          | 26.14% |        207
  175 | NOTE_OFF_53   |   26.70% |       104722 | 飯          | 26.71% |        194
  176 | NOTE_ON_79    |   27.27% |        98942 | 亥          | 27.27% |        184
  177 | NOTE_OFF_79   |   27.84% |        98942 | 详          | 27.84% |        173
  178 | NOTE_ON_50    |   28.41% |        92426 | 擺          | 28.41% |        165
  179 | NOTE_OFF_50   |   28.98% |        92426 | r          | 28.98% |        157
  180 | NOTE_ON_52    |   29.55% |        90956 | org        | 29.55% |        148
  181 | NOTE_OFF_52   |   30.11% |        90956 | 匡          | 30.12% |        140
  182 | NOTE_ON_54    |   30.68% |        84631 | 稣          | 30.68% |        132
  183 | NOTE_OFF_54   |   31.25% |        84631 | 鏈          | 31.25% |        126
  184 | NOTE_ON_78    |   31.82% |        82586 | 1910       | 31.82% |        122
  185 | NOTE_OFF_78   |   32.39% |        82586 | ##ち        | 32.38% |        117
  186 | NOTE_ON_51    |   32.95% |        81361 | 炼          | 32.96% |        112
  187 | NOTE_OFF_51   |   33.52% |        81361 | 債          | 33.53% |        107
  188 | NOTE_ON_81    |   34.09% |        80789 | 庸          | 34.09% |        102
  189 | NOTE_OFF_81   |   34.66% |        80789 | 荊          | 34.66% |         97
  190 | NOTE_ON_48    |   35.23% |        80623 | ##か        | 35.23% |         94
  191 | NOTE_OFF_48   |   35.80% |        80623 | 胃          | 35.79% |         89
  192 | NOTE_ON_80    |   36.36% |        79080 | https      | 36.36% |         85
  193 | NOTE_OFF_80   |   36.93% |        79080 | 1884       | 36.94% |         81
