Token Mapping Log for bert-base-multilingual-uncased
Total BERT Tokens: 57207
Total Maestro Tokens: 176

Mapping for indices 128-255:

Index | Maestro Token | Maestro % | Maestro Count | BERT Token | BERT % | BERT Count
------------------------------------------------------------------------------------------
  128 | NOTE_ON_62    |    0.00% |       154792 | ,          |  0.00% |    1675601
  129 | NOTE_OFF_62   |    0.57% |       154792 | early      |  0.57% |      11312
  130 | NOTE_ON_67    |    1.14% |       151904 | ##pt       |  1.14% |       6380
  131 | NOTE_OFF_67   |    1.70% |       151904 | 1964       |  1.70% |       4572
  132 | NOTE_ON_65    |    2.27% |       148218 | ##tor      |  2.27% |       3572
  133 | NOTE_OFF_65   |    2.84% |       148218 | ##bre      |  2.84% |       2976
  134 | NOTE_ON_60    |    3.41% |       146485 | ##ad       |  3.41% |       2537
  135 | NOTE_OFF_60   |    3.98% |       146485 | governor   |  3.98% |       2206
  136 | NOTE_ON_69    |    4.55% |       144060 | hof        |  4.54% |       1958
  137 | NOTE_OFF_69   |    5.11% |       144060 | mountains  |  5.11% |       1763
  138 | NOTE_ON_64    |    5.68% |       141980 | republican |  5.68% |       1615
  139 | NOTE_OFF_64   |    6.25% |       141980 | 55         |  6.25% |       1489
  140 | NOTE_ON_72    |    6.82% |       136147 | ehemalige  |  6.82% |       1380
  141 | NOTE_OFF_72   |    7.39% |       136147 | ##ments    |  7.39% |       1287
  142 | NOTE_ON_63    |    7.95% |       131161 | developpement |  7.96% |       1200
  143 | NOTE_OFF_63   |    8.52% |       131161 | ##itat     |  8.52% |       1132
  144 | NOTE_ON_74    |    9.09% |       130051 | revue      |  9.09% |       1061
  145 | NOTE_OFF_74   |    9.66% |       130051 | adaptation |  9.66% |       1005
  146 | NOTE_ON_57    |   10.23% |       128424 | epoca      | 10.23% |        952
  147 | NOTE_OFF_57   |   10.80% |       128424 | distrikt   | 10.80% |        906
  148 | NOTE_ON_58    |   11.36% |       126437 | recoit     | 11.36% |        862
  149 | NOTE_OFF_58   |   11.93% |       126437 | junioren   | 11.93% |        823
  150 | NOTE_ON_70    |   12.50% |       124788 | ##tau      | 12.50% |        785
  151 | NOTE_OFF_70   |   13.07% |       124788 | ##ruf      | 13.07% |        751
  152 | NOTE_ON_68    |   13.64% |       124762 | ##strat    | 13.64% |        720
  153 | NOTE_OFF_68   |   14.20% |       124762 | millions   | 14.20% |        691
  154 | NOTE_ON_55    |   14.77% |       124397 | legende    | 14.77% |        663
  155 | NOTE_OFF_55   |   15.34% |       124397 | ##wall     | 15.34% |        637
  156 | NOTE_ON_61    |   15.91% |       122697 | rive       | 15.91% |        613
  157 | NOTE_OFF_61   |   16.48% |       122697 | ##hrt      | 16.48% |        593
  158 | NOTE_ON_71    |   17.05% |       116588 | hombre     | 17.05% |        572
  159 | NOTE_OFF_71   |   17.61% |       116588 | fern       | 17.61% |        553
  160 | NOTE_ON_66    |   18.18% |       116410 | 1805       | 18.18% |        533
  161 | NOTE_OFF_66   |   18.75% |       116410 | ##fina     | 18.75% |        516
  162 | NOTE_ON_59    |   19.32% |       114567 | luxemburg  | 19.32% |        501
  163 | NOTE_OFF_59   |   19.89% |       114567 | cavalry    | 19.89% |        485
  164 | NOTE_ON_73    |   20.45% |       113463 | roots      | 20.45% |        470
  165 | NOTE_OFF_73   |   21.02% |       113463 | ufer       | 21.02% |        456
  166 | NOTE_ON_76    |   21.59% |       109753 | contain    | 21.59% |        444
  167 | NOTE_OFF_76   |   22.16% |       109753 | northeastern | 22.16% |        433
  168 | NOTE_ON_56    |   22.73% |       109079 | trying     | 22.73% |        421
  169 | NOTE_OFF_56   |   23.30% |       109079 | facebook   | 23.30% |        410
  170 | NOTE_ON_75    |   23.86% |       108413 | kurzfilm   | 23.86% |        398
  171 | NOTE_OFF_75   |   24.43% |       108413 | vivo       | 24.43% |        387
  172 | NOTE_ON_77    |   25.00% |       107537 | weitgehend | 25.00% |        376
  173 | NOTE_OFF_77   |   25.57% |       107537 | textile    | 25.57% |        367
  174 | NOTE_ON_53    |   26.14% |       104722 | ##szentrum | 26.14% |        358
  175 | NOTE_OFF_53   |   26.70% |       104722 | kabinett   | 26.70% |        349
  176 | NOTE_ON_79    |   27.27% |        98942 | jeweiligen | 27.27% |        340
  177 | NOTE_OFF_79   |   27.84% |        98942 | ##kade     | 27.84% |        332
  178 | NOTE_ON_50    |   28.41% |        92426 | schwere    | 28.41% |        323
  179 | NOTE_OFF_50   |   28.98% |        92426 | hank       | 28.98% |        315
  180 | NOTE_ON_52    |   29.55% |        90956 | complet    | 29.55% |        307
  181 | NOTE_OFF_52   |   30.11% |        90956 | lippe      | 30.11% |        300
  182 | NOTE_ON_54    |   30.68% |        84631 | ##eka      | 30.68% |        293
  183 | NOTE_OFF_54   |   31.25% |        84631 | oriented   | 31.25% |        285
  184 | NOTE_ON_78    |   31.82% |        82586 | queda      | 31.82% |        278
  185 | NOTE_OFF_78   |   32.39% |        82586 | ##cious    | 32.39% |        271
  186 | NOTE_ON_51    |   32.95% |        81361 | barrow     | 32.95% |        265
  187 | NOTE_OFF_51   |   33.52% |        81361 | vivre      | 33.52% |        259
  188 | NOTE_ON_81    |   34.09% |        80789 | ##bok      | 34.09% |        253
  189 | NOTE_OFF_81   |   34.66% |        80789 | parlamento | 34.66% |        247
  190 | NOTE_ON_48    |   35.23% |        80623 | arriving   | 35.23% |        241
  191 | NOTE_OFF_48   |   35.80% |        80623 | ##rove     | 35.80% |        235
  192 | NOTE_ON_80    |   36.36% |        79080 | jumping    | 36.36% |        230
  193 | NOTE_OFF_80   |   36.93% |        79080 | ##logico   | 36.93% |        224
  194 | NOTE_ON_82    |   37.50% |        65820 | sura       | 37.50% |        219
  195 | NOTE_OFF_82   |   38.07% |        65820 | ##anes     | 38.07% |        214
  196 | NOTE_ON_49    |   38.64% |        63822 | protesta   | 38.64% |        210
  197 | NOTE_OFF_49   |   39.20% |        63822 | homenaje   | 39.20% |        205
  198 | NOTE_ON_84    |   39.77% |        60671 | ##dore     | 39.77% |        200
  199 | NOTE_OFF_84   |   40.34% |        60671 | amitie     | 40.34% |        196
  200 | NOTE_ON_45    |   40.91% |        59781 | ##league   | 40.91% |        191
  201 | NOTE_OFF_45   |   41.48% |        59781 | wichtigste | 41.48% |        187
  202 | NOTE_ON_83    |   42.05% |        58651 | castell    | 42.05% |        182
  203 | NOTE_OFF_83   |   42.61% |        58651 | mx         | 42.61% |        178
  204 | NOTE_ON_46    |   43.18% |        57611 | chrysomelidae | 43.18% |        174
  205 | NOTE_OFF_46   |   43.75% |        57611 | reilly     | 43.75% |        170
  206 | NOTE_ON_47    |   44.32% |        56740 | selective  | 44.32% |        166
  207 | NOTE_OFF_47   |   44.89% |        56740 | bombardier | 44.89% |        163
  208 | NOTE_ON_43    |   45.45% |        54980 | posta      | 45.45% |        159
  209 | NOTE_OFF_43   |   46.02% |        54980 | ##school   | 46.02% |        155
  210 | NOTE_ON_86    |   46.59% |        49666 | breakfast  | 46.59% |        151
  211 | NOTE_OFF_86   |   47.16% |        49666 | ##rela     | 47.16% |        147
  212 | NOTE_ON_44    |   47.73% |        49438 | vaster     | 47.73% |        144
