Token Mapping Log for bert-base-german-cased
Total BERT Tokens: 25672
Total Maestro Tokens: 176

Mapping for indices 128-255:

Index | Maestro Token | Maestro % | Maestro Count | BERT Token | BERT % | BERT Count
------------------------------------------------------------------------------------------
  128 | NOTE_ON_62    |    0.00% |       154792 | .          |  0.00% |     886389
  129 | NOTE_OFF_62   |    0.57% |       154792 | US         |  0.57% |      11208
  130 | NOTE_ON_67    |    1.14% |       151904 | ihm        |  1.14% |       6589
  131 | NOTE_OFF_67   |    1.70% |       151904 | ##ation    |  1.71% |       4781
  132 | NOTE_ON_65    |    2.27% |       148218 | Frauen     |  2.27% |       3798
  133 | NOTE_OFF_65   |    2.84% |       148218 | ##ko       |  2.84% |       3172
  134 | NOTE_ON_60    |    3.41% |       146485 | Liga       |  3.41% |       2760
  135 | NOTE_OFF_60   |    3.98% |       146485 | Norden     |  3.98% |       2443
  136 | NOTE_ON_69    |    4.55% |       144060 | ##iger     |  4.55% |       2186
  137 | NOTE_OFF_69   |    5.11% |       144060 | ##ena      |  5.11% |       1991
  138 | NOTE_ON_64    |    5.68% |       141980 | Reich      |  5.68% |       1842
  139 | NOTE_OFF_64   |    6.25% |       141980 | häufig     |  6.25% |       1692
  140 | NOTE_ON_72    |    6.82% |       136147 | Hessen     |  6.82% |       1579
  141 | NOTE_OFF_72   |    7.39% |       136147 | Erfolge    |  7.39% |       1476
  142 | NOTE_ON_63    |    7.95% |       131161 | Los        |  7.95% |       1387
  143 | NOTE_OFF_63   |    8.52% |       131161 | Port       |  8.52% |       1299
  144 | NOTE_ON_74    |    9.09% |       130051 | 155        |  9.09% |       1224
  145 | NOTE_OFF_74   |    9.66% |       130051 | ##kammer   |  9.66% |       1163
  146 | NOTE_ON_57    |   10.23% |       128424 | Handlung   | 10.23% |       1107
  147 | NOTE_OFF_57   |   10.80% |       128424 | keinen     | 10.79% |       1048
  148 | NOTE_ON_58    |   11.36% |       126437 | ##stoff    | 11.36% |       1008
  149 | NOTE_OFF_58   |   11.93% |       126437 | Zeichen    | 11.93% |        961
  150 | NOTE_ON_70    |   12.50% |       124788 | Erste      | 12.50% |        922
  151 | NOTE_OFF_70   |   13.07% |       124788 | ##ord      | 13.07% |        887
  152 | NOTE_ON_68    |   13.64% |       124762 | Englisch   | 13.64% |        856
