Token Mapping Log for bert-base-uncased
Total BERT Tokens: 28826
Total Maestro Tokens: 176

Mapping for indices 128-255:

Index | Maestro Token | Maestro % | Maestro Count | BERT Token | BERT % | BERT Count
------------------------------------------------------------------------------------------
  128 | NOTE_ON_62    |    0.00% |       154792 | the        |  0.00% |    1973809
  129 | NOTE_OFF_62   |    0.57% |       154792 | ##ed       |  0.57% |      19986
  130 | NOTE_ON_67    |    1.14% |       151904 | if         |  1.14% |      12513
  131 | NOTE_OFF_67   |    1.70% |       151904 | 24         |  1.70% |       9341
  132 | NOTE_ON_65    |    2.27% |       148218 | 27         |  2.27% |       7254
  133 | NOTE_OFF_65   |    2.84% |       148218 | making     |  2.84% |       6043
  134 | NOTE_ON_60    |    3.41% |       146485 | magazine   |  3.41% |       5010
  135 | NOTE_OFF_60   |    3.98% |       146485 | rec        |  3.98% |       4342
  136 | NOTE_ON_69    |    4.55% |       144060 | legal      |  4.54% |       3843
  137 | NOTE_OFF_69   |    5.11% |       144060 | houses     |  5.11% |       3464
  138 | NOTE_ON_64    |    5.68% |       141980 | die        |  5.68% |       3128
  139 | NOTE_OFF_64   |    6.25% |       141980 | mis        |  6.25% |       2874
  140 | NOTE_ON_72    |    6.82% |       136147 | ##yo       |  6.82% |       2658
  141 | NOTE_OFF_72   |    7.39% |       136147 | ##ant      |  7.39% |       2464
  142 | NOTE_ON_63    |    7.95% |       131161 | ##ub       |  7.95% |       2295
  143 | NOTE_OFF_63   |    8.52% |       131161 | 53         |  8.52% |       2167
  144 | NOTE_ON_74    |    9.09% |       130051 | communist  |  9.09% |       2026
  145 | NOTE_OFF_74   |    9.66% |       130051 | weather    |  9.66% |       1899
  146 | NOTE_ON_57    |   10.23% |       128424 | ##iz       | 10.23% |       1794
  147 | NOTE_OFF_57   |   10.80% |       128424 | ss         | 10.80% |       1694
  148 | NOTE_ON_58    |   11.36% |       126437 | ##sk       | 11.36% |       1613
  149 | NOTE_OFF_58   |   11.93% |       126437 | ##ice      | 11.93% |       1538
  150 | NOTE_ON_70    |   12.50% |       124788 | ##red      | 12.50% |       1469
  151 | NOTE_OFF_70   |   13.07% |       124788 | applications | 13.07% |       1398
  152 | NOTE_ON_68    |   13.64% |       124762 | indonesia  | 13.64% |       1338
  153 | NOTE_OFF_68   |   14.20% |       124762 | ##nh       | 14.21% |       1276
