Token Mapping Log for microsoft_codebert-base-mlm
Total BERT Tokens: 23191
Total Maestro Tokens: 176

Mapping for indices 128-255:

Index | Maestro Token | Maestro % | Maestro Count | BERT Token | BERT % | BERT Count
------------------------------------------------------------------------------------------
  128 | NOTE_ON_62    |    0.00% |       154792 | Ġ          |  0.00% |    2426424
  129 | NOTE_OFF_62   |    0.57% |       154792 | class      |  0.57% |       3449
  130 | NOTE_ON_67    |    1.14% |       151904 | ator       |  1.14% |       1858
  131 | NOTE_OFF_67   |    1.70% |       151904 | Ġresponse  |  1.70% |       1154
  132 | NOTE_ON_65    |    2.27% |       148218 | ext        |  2.27% |        901
  133 | NOTE_OFF_65   |    2.84% |       148218 | ĠA         |  2.84% |        727
  134 | NOTE_ON_60    |    3.41% |       146485 | ://        |  3.41% |        584
  135 | NOTE_OFF_60   |    3.98% |       146485 | hash       |  3.98% |        495
  136 | NOTE_ON_69    |    4.55% |       144060 | throw      |  4.54% |        428
  137 | NOTE_OFF_69   |    5.11% |       144060 | Ġaction    |  5.11% |        380
  138 | NOTE_ON_64    |    5.68% |       141980 | lements    |  5.68% |        338
  139 | NOTE_OFF_64   |    6.25% |       141980 | IS         |  6.25% |        309
  140 | NOTE_ON_72    |    6.82% |       136147 | ursor      |  6.82% |        280
  141 | NOTE_OFF_72   |    7.39% |       136147 | Ġ',        |  7.39% |        254
  142 | NOTE_ON_63    |    7.95% |       131161 | ct         |  7.96% |        232
  143 | NOTE_OFF_63   |    8.52% |       131161 | Ġencoding  |  8.52% |        214
  144 | NOTE_ON_74    |    9.09% |       130051 | zone       |  9.09% |        197
  145 | NOTE_OFF_74   |    9.66% |       130051 | slice      |  9.66% |        182
  146 | NOTE_ON_57    |   10.23% |       128424 | NO         | 10.23% |        170
  147 | NOTE_OFF_57   |   10.80% |       128424 | zer        | 10.80% |        159
  148 | NOTE_ON_58    |   11.36% |       126437 | ann        | 11.36% |        148
  149 | NOTE_OFF_58   |   11.93% |       126437 | Ġtimestamp | 11.93% |        139
  150 | NOTE_ON_70    |   12.50% |       124788 | Ġprivate   | 12.50% |        130
  151 | NOTE_OFF_70   |   13.07% |       124788 | escape     | 13.07% |        121
  152 | NOTE_ON_68    |   13.64% |       124762 | nb         | 13.63% |        115
  153 | NOTE_OFF_68   |   14.20% |       124762 | organ      | 14.20% |        108
  154 | NOTE_ON_55    |   14.77% |       124397 | rays       | 14.77% |        102
  155 | NOTE_OFF_55   |   15.34% |       124397 | Init       | 15.34% |         97
  156 | NOTE_ON_61    |   15.91% |       122697 | allow      | 15.91% |         93
  157 | NOTE_OFF_61   |   16.48% |       122697 | Activity   | 16.48% |         88
  158 | NOTE_ON_71    |   17.05% |       116588 | inate      | 17.05% |         84
  159 | NOTE_OFF_71   |   17.61% |       116588 | Main       | 17.61% |         80
  160 | NOTE_ON_66    |   18.18% |       116410 | DES        | 18.18% |         76
  161 | NOTE_OFF_66   |   18.75% |       116410 | Ġsignal    | 18.75% |         73
  162 | NOTE_ON_59    |   19.32% |       114567 | Ġsymbol    | 19.32% |         70
  163 | NOTE_OFF_59   |   19.89% |       114567 | mine       | 19.89% |         67
  164 | NOTE_ON_73    |   20.45% |       113463 | ĠCalendar  | 20.46% |         64
  165 | NOTE_OFF_73   |   21.02% |       113463 | qa         | 21.02% |         61
  166 | NOTE_ON_76    |   21.59% |       109753 | GEN        | 21.59% |         59
  167 | NOTE_OFF_76   |   22.16% |       109753 | native     | 22.16% |         56
  168 | NOTE_ON_56    |   22.73% |       109079 | Ġcompleted | 22.73% |         54
  169 | NOTE_OFF_56   |   23.30% |       109079 | Ġinst      | 23.29% |         52
  170 | NOTE_ON_75    |   23.86% |       108413 | ĠParam     | 23.86% |         50
  171 | NOTE_OFF_75   |   24.43% |       108413 | Help       | 24.43% |         48
  172 | NOTE_ON_77    |   25.00% |       107537 | Cause      | 25.00% |         45
  173 | NOTE_OFF_77   |   25.57% |       107537 | TM         | 25.57% |         44
  174 | NOTE_ON_53    |   26.14% |       104722 | Ġconv      | 26.14% |         42
  175 | NOTE_OFF_53   |   26.70% |       104722 | Ġhist      | 26.70% |         40
  176 | NOTE_ON_79    |   27.27% |        98942 | land       | 27.27% |         39
  177 | NOTE_OFF_79   |   27.84% |        98942 | ĠOrd       | 27.84% |         37
  178 | NOTE_ON_50    |   28.41% |        92426 | Ġwindows   | 28.41% |         35
  179 | NOTE_OFF_50   |   28.98% |        92426 | ĠCOL       | 28.98% |         34
  180 | NOTE_ON_52    |   29.55% |        90956 | vere       | 29.55% |         33
  181 | NOTE_OFF_52   |   30.11% |        90956 | Ġswap      | 30.12% |         31
  182 | NOTE_ON_54    |   30.68% |        84631 | ton        | 30.68% |         30
  183 | NOTE_OFF_54   |   31.25% |        84631 | ĠClear     | 31.25% |         29
  184 | NOTE_ON_78    |   31.82% |        82586 | Ġlex       | 31.82% |         28
