Token Mapping Log for neulab_codebert-c
Total BERT Tokens: 10873
Total Maestro Tokens: 176

Mapping for indices 128-255:

Index | Maestro Token | Maestro % | Maestro Count | BERT Token | BERT % | BERT Count
------------------------------------------------------------------------------------------
  128 | NOTE_ON_62    |    0.00% |       154792 | ĉ          |  0.00% |      70815
  129 | NOTE_OFF_62   |    0.57% |       154792 | ))         |  0.57% |        811
  130 | NOTE_ON_67    |    1.14% |       151904 | List       |  1.14% |        488
  131 | NOTE_OFF_67   |    1.70% |       151904 | Ġ(*        |  1.70% |        349
  132 | NOTE_ON_65    |    2.27% |       148218 | new        |  2.27% |        234
  133 | NOTE_OFF_65   |    2.84% |       148218 | it         |  2.84% |        184
  134 | NOTE_ON_60    |    3.41% |       146485 | ate        |  3.41% |        158
  135 | NOTE_OFF_60   |    3.98% |       146485 | Ġcan       |  3.97% |        135
  136 | NOTE_ON_69    |    4.55% |       144060 | Dec        |  4.54% |        114
  137 | NOTE_OFF_69   |    5.11% |       144060 | env        |  5.11% |        102
  138 | NOTE_ON_64    |    5.68% |       141980 | un         |  5.68% |         89
  139 | NOTE_OFF_64   |    6.25% |       141980 | Settings   |  6.25% |         81
  140 | NOTE_ON_72    |    6.82% |       136147 | delete     |  6.82% |         73
  141 | NOTE_OFF_72   |    7.39% |       136147 | Rep        |  7.39% |         67
  142 | NOTE_ON_63    |    7.95% |       131161 | ature      |  7.96% |         63
  143 | NOTE_OFF_63   |    8.52% |       131161 | Ġport      |  8.53% |         58
  144 | NOTE_ON_74    |    9.09% |       130051 | Ġshould    |  9.09% |         55
  145 | NOTE_OFF_74   |    9.66% |       130051 | auth       |  9.66% |         51
  146 | NOTE_ON_57    |   10.23% |       128424 | ert        | 10.23% |         47
  147 | NOTE_OFF_57   |   10.80% |       128424 | Remote     | 10.80% |         44
  148 | NOTE_ON_58    |   11.36% |       126437 | ances      | 11.37% |         41
  149 | NOTE_OFF_58   |   11.93% |       126437 | ored       | 11.93% |         38
  150 | NOTE_ON_70    |   12.50% |       124788 | Non        | 12.50% |         36
  151 | NOTE_OFF_70   |   13.07% |       124788 | Ġspecified | 13.07% |         34
  152 | NOTE_ON_68    |   13.64% |       124762 | da         | 13.64% |         32
  153 | NOTE_OFF_68   |   14.20% |       124762 | update     | 14.20% |         31
  154 | NOTE_ON_55    |   14.77% |       124397 | It         | 14.77% |         30
  155 | NOTE_OFF_55   |   15.34% |       124397 | Aud        | 15.34% |         28
  156 | NOTE_ON_61    |   15.91% |       122697 | icker      | 15.91% |         27
  157 | NOTE_OFF_61   |   16.48% |       122697 | ash        | 16.48% |         25
  158 | NOTE_ON_71    |   17.05% |       116588 | annels     | 17.04% |         24
  159 | NOTE_OFF_71   |   17.61% |       116588 | acl        | 17.61% |         23
  160 | NOTE_ON_66    |   18.18% |       116410 | de         | 18.18% |         22
  161 | NOTE_OFF_66   |   18.75% |       116410 | Home       | 18.75% |         21
  162 | NOTE_ON_59    |   19.32% |       114567 | Ġmissing   | 19.31% |         20
  163 | NOTE_OFF_59   |   19.89% |       114567 | region     | 19.88% |         20
  164 | NOTE_ON_73    |   20.45% |       113463 | print      | 20.45% |         19
  165 | NOTE_OFF_73   |   21.02% |       113463 | ĠVersion   | 21.02% |         18
  166 | NOTE_ON_76    |   21.59% |       109753 | Ġcommit    | 21.59% |         17
  167 | NOTE_OFF_76   |   22.16% |       109753 | Ġpossible  | 22.16% |         17
  168 | NOTE_ON_56    |   22.73% |       109079 | ases       | 22.73% |         16
  169 | NOTE_OFF_56   |   23.30% |       109079 | Ġns        | 23.30% |         16
  170 | NOTE_ON_75    |   23.86% |       108413 | ĠRegister  | 23.87% |         15
  171 | NOTE_OFF_75   |   24.43% |       108413 | Ġmight     | 24.43% |         15
  172 | NOTE_ON_77    |   25.00% |       107537 | KEY        | 25.00% |         14
  173 | NOTE_OFF_77   |   25.57% |       107537 | ĠIndex     | 25.57% |         14
  174 | NOTE_ON_53    |   26.14% |       104722 | zone       | 26.14% |         13
  175 | NOTE_OFF_53   |   26.70% |       104722 | head       | 26.71% |         13
  176 | NOTE_ON_79    |   27.27% |        98942 | Ġast       | 27.27% |         13
  177 | NOTE_OFF_79   |   27.84% |        98942 | Ġhop       | 27.84% |         12
  178 | NOTE_ON_50    |   28.41% |        92426 | Ġmult      | 28.41% |         12
  179 | NOTE_OFF_50   |   28.98% |        92426 | Ġtrim      | 28.98% |         12
  180 | NOTE_ON_52    |   29.55% |        90956 | Ġattempt   | 29.54% |         11
  181 | NOTE_OFF_52   |   30.11% |        90956 | apter      | 30.11% |         11
  182 | NOTE_ON_54    |   30.68% |        84631 | ouch       | 30.68% |         11
  183 | NOTE_OFF_54   |   31.25% |        84631 | Ġleave     | 31.25% |         10
  184 | NOTE_ON_78    |   31.82% |        82586 | mm         | 31.82% |         10
  185 | NOTE_OFF_78   |   32.39% |        82586 | Ġdid       | 32.38% |         10
  186 | NOTE_ON_51    |   32.95% |        81361 | Ġnormal    | 32.95% |          9
  187 | NOTE_OFF_51   |   33.52% |        81361 | SEC        | 33.52% |          9
  188 | NOTE_ON_81    |   34.09% |        80789 | active     | 34.09% |          9
  189 | NOTE_OFF_81   |   34.66% |        80789 | olutions   | 34.65% |          9
  190 | NOTE_ON_48    |   35.23% |        80623 | RAM        | 35.22% |          8
  191 | NOTE_OFF_48   |   35.80% |        80623 | Ġdep       | 35.80% |          8
  192 | NOTE_ON_80    |   36.36% |        79080 | Ġcanonical | 36.37% |          8
  193 | NOTE_OFF_80   |   36.93% |        79080 | Ġwriter    | 36.94% |          8
  194 | NOTE_ON_82    |   37.50% |        65820 | 100        | 37.50% |          7
  195 | NOTE_OFF_82   |   38.07% |        65820 | xt         | 38.07% |          7
  196 | NOTE_ON_49    |   38.64% |        63822 | Ġincorrect | 38.64% |          7
  197 | NOTE_OFF_49   |   39.20% |        63822 | AE         | 39.21% |          7
  198 | NOTE_ON_84    |   39.77% |        60671 | oy         | 39.77% |          7
  199 | NOTE_OFF_84   |   40.34% |        60671 | Ġchained   | 40.34% |          7
