Token Mapping Log for neulab_codebert-javascript
Total BERT Tokens: 9001
Total Maestro Tokens: 176

Mapping for indices 128-255:

Index | Maestro Token | Maestro % | Maestro Count | BERT Token | BERT % | BERT Count
------------------------------------------------------------------------------------------
  128 | NOTE_ON_62    |    0.00% |       154792 | Ġ          |  0.00% |     177785
  129 | NOTE_OFF_62   |    0.57% |       154792 | if         |  0.57% |        600
  130 | NOTE_ON_67    |    1.14% |       151904 | Path       |  1.13% |        321
  131 | NOTE_OFF_67   |    1.70% |       151904 | Data       |  1.70% |        215
  132 | NOTE_ON_65    |    2.27% |       148218 | Ġt         |  2.28% |        174
  133 | NOTE_OFF_65   |    2.84% |       148218 | __         |  2.84% |        134
  134 | NOTE_ON_60    |    3.41% |       146485 | Ġd         |  3.41% |        110
  135 | NOTE_OFF_60   |    3.98% |       146485 | width      |  3.98% |         95
  136 | NOTE_ON_69    |    4.55% |       144060 | target     |  4.54% |         85
  137 | NOTE_OFF_69   |    5.11% |       144060 | Ġresolve   |  5.11% |         75
  138 | NOTE_ON_64    |    5.68% |       141980 | field      |  5.68% |         68
  139 | NOTE_OFF_64   |    6.25% |       141980 | Ġwidth     |  6.25% |         62
  140 | NOTE_ON_72    |    6.82% |       136147 | Ġtarget    |  6.82% |         57
  141 | NOTE_OFF_72   |    7.39% |       136147 | Buffer     |  7.39% |         53
  142 | NOTE_ON_63    |    7.95% |       131161 | false      |  7.95% |         49
  143 | NOTE_OFF_63   |    8.52% |       131161 | */         |  8.52% |         45
  144 | NOTE_ON_74    |    9.09% |       130051 | ords       |  9.09% |         43
  145 | NOTE_OFF_74   |    9.66% |       130051 | files      |  9.65% |         40
  146 | NOTE_ON_57    |   10.23% |       128424 | Input      | 10.23% |         37
  147 | NOTE_OFF_57   |   10.80% |       128424 | /,         | 10.80% |         35
  148 | NOTE_ON_58    |   11.36% |       126437 | Ġlocation  | 11.37% |         33
  149 | NOTE_OFF_58   |   11.93% |       126437 | errors     | 11.93% |         31
  150 | NOTE_ON_70    |   12.50% |       124788 | åı         | 12.50% |         29
  151 | NOTE_OFF_70   |   13.07% |       124788 | åį         | 13.07% |         28
  152 | NOTE_ON_68    |   13.64% |       124762 | ync        | 13.63% |         27
  153 | NOTE_OFF_68   |   14.20% |       124762 | MIN        | 14.21% |         26
  154 | NOTE_ON_55    |   14.77% |       124397 | css        | 14.78% |         25
  155 | NOTE_OFF_55   |   15.34% |       124397 | ocol       | 15.34% |         24
  156 | NOTE_ON_61    |   15.91% |       122697 | Ġqueue     | 15.91% |         23
  157 | NOTE_OFF_61   |   16.48% |       122697 | th         | 16.48% |         21
  158 | NOTE_ON_71    |   17.05% |       116588 | Log        | 17.04% |         21
  159 | NOTE_OFF_71   |   17.61% |       116588 | rem        | 17.61% |         20
  160 | NOTE_ON_66    |   18.18% |       116410 | Ġdependency | 18.19% |         19
  161 | NOTE_OFF_66   |   18.75% |       116410 | Ġaddress   | 18.75% |         18
  162 | NOTE_ON_59    |   19.32% |       114567 | enable     | 19.32% |         18
  163 | NOTE_OFF_59   |   19.89% |       114567 | loader     | 19.89% |         17
  164 | NOTE_ON_73    |   20.45% |       113463 | ish        | 20.45% |         17
  165 | NOTE_OFF_73   |   21.02% |       113463 | Ġdeferred  | 21.02% |         16
  166 | NOTE_ON_76    |   21.59% |       109753 | Operation  | 21.59% |         15
  167 | NOTE_OFF_76   |   22.16% |       109753 | fields     | 22.16% |         15
  168 | NOTE_ON_56    |   22.73% |       109079 | multi      | 22.73% |         14
  169 | NOTE_OFF_56   |   23.30% |       109079 | annot      | 23.30% |         14
  170 | NOTE_ON_75    |   23.86% |       108413 | Ġassert    | 23.86% |         14
  171 | NOTE_OFF_75   |   24.43% |       108413 | Ġpromises  | 24.43% |         13
  172 | NOTE_ON_77    |   25.00% |       107537 | itles      | 25.00% |         13
  173 | NOTE_OFF_77   |   25.57% |       107537 | public     | 25.56% |         12
