Token Mapping Log for neuralmind_bert-base-portuguese-cased
Total BERT Tokens: 21681
Total Maestro Tokens: 176

Mapping for indices 128-255:

Index | Maestro Token | Maestro % | Maestro Count | BERT Token | BERT % | BERT Count
------------------------------------------------------------------------------------------
  128 | NOTE_ON_62    |    0.00% |       154792 | ,          |  0.00% |     277948
  129 | NOTE_OFF_62   |    0.57% |       154792 | Pe         |  0.57% |       3875
  130 | NOTE_ON_67    |    1.14% |       151904 | P          |  1.13% |       2262
  131 | NOTE_OFF_67   |    1.70% |       151904 | cada       |  1.71% |       1638
  132 | NOTE_ON_65    |    2.27% |       148218 | fevereiro  |  2.27% |       1346
  133 | NOTE_OFF_65   |    2.84% |       148218 | Can        |  2.84% |       1095
  134 | NOTE_ON_60    |    3.41% |       146485 | ##ente     |  3.41% |        939
  135 | NOTE_OFF_60   |    3.98% |       146485 | quem       |  3.98% |        809
  136 | NOTE_ON_69    |    4.55% |       144060 | Ordem      |  4.54% |        730
  137 | NOTE_OFF_69   |    5.11% |       144060 | Dr         |  5.12% |        654
  138 | NOTE_ON_64    |    5.68% |       141980 | única      |  5.68% |        596
  139 | NOTE_OFF_64   |    6.25% |       141980 | Primeira   |  6.25% |        551
  140 | NOTE_ON_72    |    6.82% |       136147 | 36         |  6.82% |        512
  141 | NOTE_OFF_72   |    7.39% |       136147 | artistas   |  7.38% |        476
  142 | NOTE_ON_63    |    7.95% |       131161 | Ste        |  7.96% |        452
  143 | NOTE_OFF_63   |    8.52% |       131161 | 1968       |  8.52% |        422
  144 | NOTE_ON_74    |    9.09% |       130051 | palavra    |  9.09% |        402
  145 | NOTE_OFF_74   |    9.66% |       130051 | ##onia     |  9.66% |        381
  146 | NOTE_ON_57    |   10.23% |       128424 | Marinha    | 10.23% |        362
  147 | NOTE_OFF_57   |   10.80% |       128424 | ##clo      | 10.80% |        347
  148 | NOTE_ON_58    |   11.36% |       126437 | plantas    | 11.36% |        333
  149 | NOTE_OFF_58   |   11.93% |       126437 | 1944       | 11.93% |        320
  150 | NOTE_ON_70    |   12.50% |       124788 | Ib         | 12.50% |        306
  151 | NOTE_OFF_70   |   13.07% |       124788 | Baixos     | 13.07% |        297
  152 | NOTE_ON_68    |   13.64% |       124762 | ##ística   | 13.63% |        287
  153 | NOTE_OFF_68   |   14.20% |       124762 | ##bal      | 14.21% |        276
