Token Mapping Log for tohoku-nlp_bert-base-japanese
Total BERT Tokens: 29644
Total Maestro Tokens: 176

Mapping for indices 128-255:

Index | Maestro Token | Maestro % | Maestro Count | BERT Token | BERT % | BERT Count
------------------------------------------------------------------------------------------
  128 | NOTE_ON_62    |    0.00% |       154792 | の          |  0.00% |     586142
  129 | NOTE_OFF_62   |    0.57% |       154792 | 番組         |  0.57% |       7036
  130 | NOTE_ON_67    |    1.14% |       151904 | チーム        |  1.14% |       4210
  131 | NOTE_OFF_67   |    1.70% |       151904 | 卒業         |  1.70% |       3036
  132 | NOTE_ON_65    |    2.27% |       148218 | ##フ        |  2.27% |       2423
  133 | NOTE_OFF_65   |    2.84% |       148218 | P          |  2.84% |       1960
  134 | NOTE_ON_60    |    3.41% |       146485 | データ        |  3.41% |       1685
  135 | NOTE_OFF_60   |    3.98% |       146485 | 部隊         |  3.98% |       1471
  136 | NOTE_ON_69    |    4.55% |       144060 | ね          |  4.54% |       1324
  137 | NOTE_OFF_69   |    5.11% |       144060 | オン         |  5.11% |       1201
  138 | NOTE_ON_64    |    5.68% |       141980 | 法律         |  5.68% |       1071
  139 | NOTE_OFF_64   |    6.25% |       141980 | 著          |  6.25% |        983
  140 | NOTE_ON_72    |    6.82% |       136147 | ジ          |  6.82% |        897
  141 | NOTE_OFF_72   |    7.39% |       136147 | 吉田         |  7.39% |        830
  142 | NOTE_ON_63    |    7.95% |       131161 | あたる        |  7.95% |        776
  143 | NOTE_OFF_63   |    8.52% |       131161 | ##奈        |  8.52% |        725
  144 | NOTE_ON_74    |    9.09% |       130051 | 文書         |  9.09% |        677
  145 | NOTE_OFF_74   |    9.66% |       130051 | ##西        |  9.66% |        641
  146 | NOTE_ON_57    |   10.23% |       128424 | 徒歩         | 10.23% |        607
  147 | NOTE_OFF_57   |   10.80% |       128424 | 相撲         | 10.79% |        575
  148 | NOTE_ON_58    |   11.36% |       126437 | 発電         | 11.36% |        547
  149 | NOTE_OFF_58   |   11.93% |       126437 | 上田         | 11.93% |        519
  150 | NOTE_ON_70    |   12.50% |       124788 | ##son      | 12.50% |        498
  151 | NOTE_OFF_70   |   13.07% |       124788 | 勲          | 13.07% |        476
  152 | NOTE_ON_68    |   13.64% |       124762 | ##髪        | 13.64% |        454
  153 | NOTE_OFF_68   |   14.20% |       124762 | ##AN       | 14.21% |        435
  154 | NOTE_ON_55    |   14.77% |       124397 | キン         | 14.77% |        417
  155 | NOTE_OFF_55   |   15.34% |       124397 | 大人         | 15.34% |        400
  156 | NOTE_ON_61    |   15.91% |       122697 | 協定         | 15.91% |        386
  157 | NOTE_OFF_61   |   16.48% |       122697 | 送っ         | 16.48% |        372
  158 | NOTE_ON_71    |   17.05% |       116588 | 類似         | 17.05% |        359
  159 | NOTE_OFF_71   |   17.61% |       116588 | 隠し         | 17.61% |        347
  160 | NOTE_ON_66    |   18.18% |       116410 | 石油         | 18.18% |        336
  161 | NOTE_OFF_66   |   18.75% |       116410 | ##将        | 18.75% |        324
  162 | NOTE_ON_59    |   19.32% |       114567 | 逆転         | 19.32% |        314
  163 | NOTE_OFF_59   |   19.89% |       114567 | 帰還         | 19.89% |        304
  164 | NOTE_ON_73    |   20.45% |       113463 | 仙          | 20.46% |        295
  165 | NOTE_OFF_73   |   21.02% |       113463 | 滞在         | 21.02% |        286
  166 | NOTE_ON_76    |   21.59% |       109753 | コラボ        | 21.59% |        279
  167 | NOTE_OFF_76   |   22.16% |       109753 | 向かい        | 22.16% |        271
  168 | NOTE_ON_56    |   22.73% |       109079 | 興業         | 22.73% |        264
  169 | NOTE_OFF_56   |   23.30% |       109079 | 歌っ         | 23.30% |        256
  170 | NOTE_ON_75    |   23.86% |       108413 | プラザ        | 23.86% |        248
  171 | NOTE_OFF_75   |   24.43% |       108413 | DR         | 24.43% |        242
  172 | NOTE_ON_77    |   25.00% |       107537 | ##傷        | 25.00% |        235
  173 | NOTE_OFF_77   |   25.57% |       107537 | ##ヶ丘       | 25.57% |        229
  174 | NOTE_ON_53    |   26.14% |       104722 | 真理         | 26.14% |        223
  175 | NOTE_OFF_53   |   26.70% |       104722 | ##ary      | 26.70% |        217
  176 | NOTE_ON_79    |   27.27% |        98942 | 勃発         | 27.27% |        212
  177 | NOTE_OFF_79   |   27.84% |        98942 | ライフル       | 27.84% |        207
  178 | NOTE_ON_50    |   28.41% |        92426 | タイヤ        | 28.41% |        201
  179 | NOTE_OFF_50   |   28.98% |        92426 | 国防         | 28.98% |        195
  180 | NOTE_ON_52    |   29.55% |        90956 | AAA        | 29.54% |        191
  181 | NOTE_OFF_52   |   30.11% |        90956 | ##MP       | 30.11% |        187
  182 | NOTE_ON_54    |   30.68% |        84631 | 黙          | 30.68% |        182
  183 | NOTE_OFF_54   |   31.25% |        84631 | 内野         | 31.25% |        178
  184 | NOTE_ON_78    |   31.82% |        82586 | 霞          | 31.82% |        174
  185 | NOTE_OFF_78   |   32.39% |        82586 | 羊          | 32.39% |        169
  186 | NOTE_ON_51    |   32.95% |        81361 | 台詞         | 32.95% |        166
  187 | NOTE_OFF_51   |   33.52% |        81361 | マスコット      | 33.52% |        162
  188 | NOTE_ON_81    |   34.09% |        80789 | ##夢        | 34.09% |        159
  189 | NOTE_OFF_81   |   34.66% |        80789 | AKB        | 34.66% |        155
  190 | NOTE_ON_48    |   35.23% |        80623 | 塗装         | 35.23% |        152
  191 | NOTE_OFF_48   |   35.80% |        80623 | ##ling     | 35.79% |        149
  192 | NOTE_ON_80    |   36.36% |        79080 | 肝          | 36.36% |        145
  193 | NOTE_OFF_80   |   36.93% |        79080 | もうけ        | 36.93% |        142
  194 | NOTE_ON_82    |   37.50% |        65820 | キューバ       | 37.50% |        140
  195 | NOTE_OFF_82   |   38.07% |        65820 | 発注         | 38.07% |        137
  196 | NOTE_ON_49    |   38.64% |        63822 | 漆          | 38.64% |        134
  197 | NOTE_OFF_49   |   39.20% |        63822 | 舌          | 39.21% |        132
  198 | NOTE_ON_84    |   39.77% |        60671 | 頻度         | 39.77% |        129
  199 | NOTE_OFF_84   |   40.34% |        60671 | 貨車         | 40.34% |        127
  200 | NOTE_ON_45    |   40.91% |        59781 | Sn         | 40.91% |        125
  201 | NOTE_OFF_45   |   41.48% |        59781 | ヴィルヘルム     | 41.48% |        122
  202 | NOTE_ON_83    |   42.05% |        58651 | ##ALL      | 42.05% |        120
  203 | NOTE_OFF_83   |   42.61% |        58651 | 衛門         | 42.61% |        117
  204 | NOTE_ON_46    |   43.18% |        57611 | 直轄         | 43.18% |        115
  205 | NOTE_OFF_46   |   43.75% |        57611 | だらけ        | 43.75% |        113
  206 | NOTE_ON_47    |   44.32% |        56740 | 廻          | 44.32% |        111
  207 | NOTE_OFF_47   |   44.89% |        56740 | 長大         | 44.89% |        109
  208 | NOTE_ON_43    |   45.45% |        54980 | ふしぎ        | 45.46% |        107
  209 | NOTE_OFF_43   |   46.02% |        54980 | 増強         | 46.02% |        105
  210 | NOTE_ON_86    |   46.59% |        49666 | 小児         | 46.59% |        103
  211 | NOTE_OFF_86   |   47.16% |        49666 | 波動         | 47.16% |        101
  212 | NOTE_ON_44    |   47.73% |        49438 | 講和         | 47.73% |         99
  213 | NOTE_OFF_44   |   48.30% |        49438 | 神秘         | 48.30% |         97
  214 | NOTE_ON_85    |   48.86% |        47421 | 導く         | 48.86% |         96
  215 | NOTE_OFF_85   |   49.43% |        47421 | 積ん         | 49.43% |         94
  216 | NOTE_ON_41    |   50.00% |        42115 | 鹿屋         | 50.00% |         93
  217 | NOTE_OFF_41   |   50.57% |        42115 | リュー        | 50.57% |         91
  218 | NOTE_ON_87    |   51.14% |        42012 | 消火         | 51.14% |         90
  219 | NOTE_OFF_87   |   51.70% |        42012 | ##張り       | 51.70% |         88
  220 | NOTE_ON_88    |   52.27% |        38677 | 祭礼         | 52.27% |         87
  221 | NOTE_OFF_88   |   52.84% |        38677 | アンコール      | 52.84% |         85
  222 | NOTE_ON_42    |   53.41% |        34174 | 函数         | 53.41% |         84
  223 | NOTE_OFF_42   |   53.98% |        34174 | 奥田         | 53.98% |         82
  224 | NOTE_ON_89    |   54.55% |        33893 | どころ        | 54.54% |         81
  225 | NOTE_OFF_89   |   55.11% |        33893 | 輿          | 55.11% |         80
  226 | NOTE_ON_40    |   55.68% |        33516 | 電信         | 55.68% |         78
  227 | NOTE_OFF_40   |   56.25% |        33516 | ##辛        | 56.25% |         77
  228 | NOTE_ON_36    |   56.82% |        30616 | メカニック      | 56.82% |         75
  229 | NOTE_OFF_36   |   57.39% |        30616 | 元祖         | 57.39% |         74
  230 | NOTE_ON_39    |   57.95% |        30324 | 含          | 57.95% |         73
  231 | NOTE_OFF_39   |   58.52% |        30324 | フランチャイズ    | 58.52% |         72
  232 | NOTE_ON_38    |   59.09% |        29290 | ##bps      | 59.09% |         71
  233 | NOTE_OFF_38   |   59.66% |        29290 | 基板         | 59.66% |         70
  234 | NOTE_ON_91    |   60.23% |        25666 | 遭難         | 60.23% |         68
  235 | NOTE_OFF_91   |   60.80% |        25666 | 大作         | 60.79% |         67
  236 | NOTE_ON_90    |   61.36% |        25490 | ポロ         | 61.36% |         66
  237 | NOTE_OFF_90   |   61.93% |        25490 | 柳田         | 61.93% |         65
  238 | NOTE_ON_37    |   62.50% |        24974 | 巧み         | 62.50% |         64
  239 | NOTE_OFF_37   |   63.07% |        24974 | ##ニアム      | 63.07% |         63
  240 | NOTE_ON_92    |   63.64% |        22391 | 探る         | 63.64% |         62
  241 | NOTE_OFF_92   |   64.20% |        22391 | グリコ        | 64.21% |         61
  242 | NOTE_ON_33    |   64.77% |        20509 | NBC        | 64.77% |         60
  243 | NOTE_OFF_33   |   65.34% |        20509 | 安東         | 65.34% |         59
  244 | NOTE_ON_93    |   65.91% |        19149 | フィアット      | 65.91% |         58
  245 | NOTE_OFF_93   |   66.48% |        19149 | 押さ         | 66.48% |         57
  246 | NOTE_ON_35    |   67.05% |        18470 | キツネ        | 67.05% |         56
  247 | NOTE_OFF_35   |   67.61% |        18470 | 嫡子         | 67.61% |         54
  248 | NOTE_ON_34    |   68.18% |        18426 | 225        | 68.18% |         54
