Low token mapping for bert-base-chinese
Rank	Token	Frequency
0	##bot	13
1	„	13
2	ol	13
3	邃	13
4	##ack	13
5	隽	13
6	020	12
7	pay	12
8	叼	12
9	黴	12
10	簷	12
11	芎	11
12	遽	11
13	芊	11
14	find	11
15	阕	11
16	sep	11
17	镕	11
18	error	10
19	secret	10
20	card	10
21	燉	10
22	痿	10
23	##vas	10
24	074	10
25	赃	9
26	涝	9
27	##tte	9
28	飆	9
29	##oh	9
30	##isa	9
31	劵	9
32	##mma	8
33	忿	8
34	##ison	8
35	##ə	8
36	した	8
37	銬	8
38	って	8
39	鏘	7
40	秣	7
41	##480	7
42	珣	7
43	##ala	7
44	錨	7
45	钗	7
46	啥	7
47	荨	7
48	2～3	6
49	淒	6
50	猬	6
51	##db	6
52	詼	6
53	搪	6
54	蹦	6
55	恫	6
56	##well	5
57	筝	5
58	false	5
59	##fs	5
60	##ller	5
61	窈	5
62	捅	5
63	focus	5
64	咭	5
65	縄	5
66	谪	5
67	娓	4
68	蛻	4
69	why	4
70	states	4
71	澧	4
72	eb	4
73	偈	4
74	##tee	4
75	鏖	4
76	鲶	4
77	迩	4
78	ф	4
79	㎡	3
80	痍	3
81	brown	3
82	5mm	3
83	##ein	3
84	royal	3
85	hero	3
86	≈	3
87	##ㄢ	3
88	揸	3
89	##tv	3
90	阖	3
91	##gas	3
92	猗	3
93	wong	2
94	茭	2
95	郦	2
96	##５	2
97	捺	2
98	##イフ	2
99	嬷	2
100	wish	2
101	炕	2
102	12345	2
103	颛	2
104	##erson	2
105	##dm	2
106	犸	2
107	砰	2
108	reading	2
109	堙	1
110	##ience	1
111	馄	1
112	santa	1
113	扱	1
114	懑	1
115	噢	1
116	ㄋ	1
117	⑶	1
118	餮	1
119	という	1
120	##kw	1
121	##tc	1
122	唠	1
123	tag	1
124	##かった	1
125	仨	1
126	衲	1
127	##ㄍ	1
128	##bot	13
129	„	13
130	ol	13
131	邃	13
132	##ack	13
133	隽	13
134	020	12
135	pay	12
136	叼	12
137	黴	12
138	簷	12
139	芎	11
140	遽	11
141	芊	11
142	find	11
143	阕	11
144	sep	11
145	镕	11
146	error	10
147	secret	10
148	card	10
149	燉	10
150	痿	10
151	##vas	10
152	074	10
153	赃	9
154	涝	9
155	##tte	9
156	飆	9
157	##oh	9
158	##isa	9
159	劵	9
160	##mma	8
161	忿	8
162	##ison	8
163	##ə	8
164	した	8
165	銬	8
166	って	8
167	鏘	7
168	秣	7
169	##480	7
170	珣	7
171	##ala	7
172	錨	7
173	钗	7
174	啥	7
175	荨	7
176	2～3	6
177	淒	6
178	猬	6
179	##db	6
180	詼	6
181	搪	6
182	蹦	6
183	恫	6
184	##well	5
185	筝	5
186	false	5
187	##fs	5
188	##ller	5
189	窈	5
190	捅	5
191	focus	5
192	咭	5
193	縄	5
194	谪	5
195	娓	4
196	蛻	4
197	why	4
198	states	4
199	澧	4
200	eb	4
201	偈	4
202	##tee	4
203	鏖	4
204	鲶	4
205	迩	4
206	ф	4
207	㎡	3
208	痍	3
209	brown	3
210	5mm	3
211	##ein	3
212	royal	3
213	hero	3
214	≈	3
215	##ㄢ	3
216	揸	3
217	##tv	3
218	阖	3
219	##gas	3
220	猗	3
221	wong	2
222	茭	2
223	郦	2
224	##５	2
225	捺	2
226	##イフ	2
227	嬷	2
228	wish	2
229	炕	2
230	12345	2
231	颛	2
232	##erson	2
233	##dm	2
234	犸	2
235	砰	2
236	reading	2
237	堙	1
238	##ience	1
239	馄	1
240	santa	1
241	扱	1
242	懑	1
243	噢	1
244	ㄋ	1
245	⑶	1
246	餮	1
247	という	1
248	##kw	1
249	##tc	1
250	唠	1
251	tag	1
252	##かった	1
253	仨	1
254	衲	1
255	##ㄍ	1
