Low token mapping for bert-base-german-cased
Rank	Token	Frequency
0	Individual	119
1	festgehalten	118
2	erwarten	117
3	Zahlung	116
4	##nahe	114
5	begrenzte	113
6	verwickelt	112
7	##wicht	111
8	Querschnitt	110
9	globalen	109
10	schwierigen	107
11	elektrisch	106
12	Wohnungsbau	105
13	organisieren	104
14	grundlegend	103
15	Dynamik	102
16	##werden	101
17	Treue	100
18	##spezif	99
19	Nachteile	97
20	Sonntags	96
21	behaupten	95
22	finanzieller	94
23	Väter	93
24	erinnerte	92
25	Verzicht	90
26	baro	89
27	Lärm	88
28	##ortes	87
29	Wohnen	86
30	##ränken	85
31	reichten	84
32	Bestrebungen	82
33	##bringer	81
34	festge	80
35	Abgas	79
36	Energien	78
37	automat	77
38	erneuer	76
39	##ringerung	75
40	Landratsamt	74
41	nachweis	73
42	Anwohner	72
43	##hörigkeit	71
44	##orph	70
45	##orenen	69
46	##glück	68
47	##gebracht	67
48	beabsichtigte	65
49	Schätzung	64
50	Haaren	63
51	entfaltet	63
52	wohn	61
53	##gedanken	60
54	##örtlich	60
55	##lines	58
56	##vorsorge	58
57	Mön	57
58	schuld	55
59	angem	54
60	Dortmunder	53
61	##gelegen	52
62	Versammlungs	51
63	Weder	50
64	##Lin	49
65	behör	48
66	##äumen	47
67	juris	46
68	##eitigen	45
69	##gendes	44
70	##häuf	43
71	##vaters	42
72	Rechtfertigung	41
73	gleichsam	40
74	##ahls	39
75	stoppen	38
76	vorausgesetzt	37
77	Demgegenüber	36
78	##orgungs	36
79	Bundessozial	35
80	erbrachten	34
81	hoffen	33
82	##leibt	32
83	Wiesn	31
84	woll	30
85	bitte	29
86	##autos	28
87	##ymnas	27
88	##asil	26
89	ausnahmsweise	25
90	##arbeitungs	25
91	richter	24
92	zuzüglich	23
93	Missbrauchs	22
94	begehrt	21
95	##amte	20
96	Renov	19
97	Betroffen	18
98	##stren	17
99	insoweit	17
100	abzulehnen	16
101	gewährten	15
102	##ersön	14
103	##rächt	13
104	Liechten	12
105	##munder	12
106	Vertragsbe	11
107	##lärm	10
108	##schafft	10
109	Favor	9
110	##vollstreck	8
111	Erwachsen	8
112	auszulegen	7
113	vollstrecken	7
114	##eback	6
115	##Leben	5
116	##aillen	5
117	##ämlich	4
118	Beschäftig	4
119	Befrist	3
120	Buchst	3
121	Erschließ	3
122	##sersatz	2
123	gerin	2
124	##anbul	2
125	##alente	1
126	substantiiert	1
127	wöch	1
128	Individual	119
129	festgehalten	118
130	erwarten	117
131	Zahlung	116
132	##nahe	114
133	begrenzte	113
134	verwickelt	112
135	##wicht	111
136	Querschnitt	110
137	globalen	109
138	schwierigen	107
139	elektrisch	106
140	Wohnungsbau	105
141	organisieren	104
142	grundlegend	103
143	Dynamik	102
144	##werden	101
145	Treue	100
146	##spezif	99
147	Nachteile	97
148	Sonntags	96
149	behaupten	95
150	finanzieller	94
151	Väter	93
152	erinnerte	92
153	Verzicht	90
154	baro	89
155	Lärm	88
156	##ortes	87
157	Wohnen	86
158	##ränken	85
159	reichten	84
160	Bestrebungen	82
161	##bringer	81
162	festge	80
163	Abgas	79
164	Energien	78
165	automat	77
166	erneuer	76
167	##ringerung	75
168	Landratsamt	74
169	nachweis	73
170	Anwohner	72
171	##hörigkeit	71
172	##orph	70
173	##orenen	69
174	##glück	68
175	##gebracht	67
176	beabsichtigte	65
177	Schätzung	64
178	Haaren	63
179	entfaltet	63
180	wohn	61
181	##gedanken	60
182	##örtlich	60
183	##lines	58
184	##vorsorge	58
185	Mön	57
186	schuld	55
187	angem	54
188	Dortmunder	53
189	##gelegen	52
190	Versammlungs	51
191	Weder	50
192	##Lin	49
193	behör	48
194	##äumen	47
195	juris	46
196	##eitigen	45
197	##gendes	44
198	##häuf	43
199	##vaters	42
200	Rechtfertigung	41
201	gleichsam	40
202	##ahls	39
203	stoppen	38
204	vorausgesetzt	37
205	Demgegenüber	36
206	##orgungs	36
207	Bundessozial	35
208	erbrachten	34
209	hoffen	33
210	##leibt	32
211	Wiesn	31
212	woll	30
213	bitte	29
214	##autos	28
215	##ymnas	27
216	##asil	26
217	ausnahmsweise	25
218	##arbeitungs	25
219	richter	24
220	zuzüglich	23
221	Missbrauchs	22
222	begehrt	21
223	##amte	20
224	Renov	19
225	Betroffen	18
226	##stren	17
227	insoweit	17
228	abzulehnen	16
229	gewährten	15
230	##ersön	14
231	##rächt	13
232	Liechten	12
233	##munder	12
234	Vertragsbe	11
235	##lärm	10
236	##schafft	10
237	Favor	9
238	##vollstreck	8
239	Erwachsen	8
240	auszulegen	7
241	vollstrecken	7
242	##eback	6
243	##Leben	5
244	##aillen	5
245	##ämlich	4
246	Beschäftig	4
247	Befrist	3
248	Buchst	3
249	Erschließ	3
250	##sersatz	2
251	gerin	2
252	##anbul	2
253	##alente	1
254	substantiiert	1
255	wöch	1
