Low token mapping for bert-base-uncased
Rank	Token	Frequency
0	overly	149
1	##mum	148
2	graphs	147
3	kilometre	146
4	263	145
5	bosch	143
6	urbana	142
7	turbulent	141
8	oboe	140
9	##ality	139
10	symphonic	138
11	edible	137
12	##itarian	136
13	sanford	135
14	229	134
15	violate	133
16	stir	132
17	coward	131
18	disagree	130
19	impressions	129
20	##idad	128
21	congresses	127
22	behave	126
23	christophe	125
24	festivities	124
25	##elles	123
26	naomi	122
27	##phine	121
28	novelty	120
29	##itha	119
30	##mise	118
31	overture	117
32	constructions	116
33	sensing	115
34	remembering	115
35	##arty	114
36	nickelodeon	113
37	colloquially	112
38	ignoring	111
39	inverted	110
40	contrasts	109
41	fueled	109
42	redwood	108
43	aisle	107
44	##4th	106
45	relevance	105
46	infancy	104
47	venerable	103
48	credibility	103
49	splendid	102
50	##ended	101
51	piccolo	99
52	##connected	99
53	manufactures	97
54	mercenary	97
55	aachen	96
56	relentless	95
57	fright	94
58	gabled	93
59	inclined	92
60	whitaker	91
61	##islaus	90
62	cosmetics	89
63	tuba	88
64	visionary	87
65	##enity	86
66	fae	85
67	reclaimed	84
68	apes	83
69	##roving	82
70	drastic	82
71	clauses	80
72	anzac	79
73	decorate	78
74	cafeteria	77
75	widows	76
76	inaccessible	75
77	##eries	74
78	maia	73
79	deserve	71
80	##oons	70
81	amplified	69
82	jaipur	68
83	##aday	67
84	lanterns	66
85	overshadowed	64
86	##ractive	63
87	vanish	62
88	pendant	60
89	bundled	59
90	salty	58
91	strife	56
92	monstrous	55
93	oldies	54
94	mirrored	52
95	wary	50
96	delicious	48
97	easiest	46
98	slams	44
99	flipping	42
100	pretended	41
101	##נ	39
102	purposely	37
103	dashed	35
104	clearer	33
105	blasted	31
106	unfolded	30
107	gunslinger	28
108	mommy	26
109	##か	24
110	charred	22
111	watery	20
112	い	18
113	##כ	16
114	shoved	15
115	##ケ	13
116	پ	12
117	idiots	10
118	オ	8
119	##ろ	7
120	御	6
121	chimed	5
122	hovered	4
123	hunched	3
124	##₃	2
125	##พ	2
126	##∘	1
127	stilled	1
128	overly	149
129	##mum	148
130	graphs	147
131	kilometre	146
132	263	145
133	bosch	143
134	urbana	142
135	turbulent	141
136	oboe	140
137	##ality	139
138	symphonic	138
139	edible	137
140	##itarian	136
141	sanford	135
142	229	134
143	violate	133
144	stir	132
145	coward	131
146	disagree	130
147	impressions	129
148	##idad	128
149	congresses	127
150	behave	126
151	christophe	125
152	festivities	124
153	##elles	123
154	naomi	122
155	##phine	121
156	novelty	120
157	##itha	119
158	##mise	118
159	overture	117
160	constructions	116
161	sensing	115
162	remembering	115
163	##arty	114
164	nickelodeon	113
165	colloquially	112
166	ignoring	111
167	inverted	110
168	contrasts	109
169	fueled	109
170	redwood	108
171	aisle	107
172	##4th	106
173	relevance	105
174	infancy	104
175	venerable	103
176	credibility	103
177	splendid	102
178	##ended	101
179	piccolo	99
180	##connected	99
181	manufactures	97
182	mercenary	97
183	aachen	96
184	relentless	95
185	fright	94
186	gabled	93
187	inclined	92
188	whitaker	91
189	##islaus	90
190	cosmetics	89
191	tuba	88
192	visionary	87
193	##enity	86
194	fae	85
195	reclaimed	84
196	apes	83
197	##roving	82
198	drastic	82
199	clauses	80
200	anzac	79
201	decorate	78
202	cafeteria	77
203	widows	76
204	inaccessible	75
205	##eries	74
206	maia	73
207	deserve	71
208	##oons	70
209	amplified	69
210	jaipur	68
211	##aday	67
212	lanterns	66
213	overshadowed	64
214	##ractive	63
215	vanish	62
216	pendant	60
217	bundled	59
218	salty	58
219	strife	56
220	monstrous	55
221	oldies	54
222	mirrored	52
223	wary	50
224	delicious	48
225	easiest	46
226	slams	44
227	flipping	42
228	pretended	41
229	##נ	39
230	purposely	37
231	dashed	35
232	clearer	33
233	blasted	31
234	unfolded	30
235	gunslinger	28
236	mommy	26
237	##か	24
238	charred	22
239	watery	20
240	い	18
241	##כ	16
242	shoved	15
243	##ケ	13
244	پ	12
245	idiots	10
246	オ	8
247	##ろ	7
248	御	6
249	chimed	5
250	hovered	4
251	hunched	3
252	##₃	2
253	##พ	2
254	##∘	1
255	stilled	1
