Low token mapping for microsoft/codebert-base-mlm
Rank	Token	Frequency
0	ayer	4
1	ĠReload	4
2	idding	4
3	729	4
4	Ġmeters	4
5	Ġforcing	4
6	Ġaugment	4
7	ĠCreative	4
8	ĠFailure	3
9	looking	3
10	ĠMinor	3
11	Ġresponsible	3
12	ĠNeural	3
13	iew	3
14	Ġvowel	3
15	ĠPrec	3
16	Ġmention	3
17	Ġslide	3
18	Ġpun	3
19	Ġunf	3
20	ĠCirc	3
21	ompl	3
22	Ġgenesis	3
23	546	3
24	Gene	3
25	Ġwont	3
26	Ã¡n	3
27	eyed	3
28	ĠEXP	3
29	129	3
30	ĠThro	3
31	midt	3
32	ĠChildren	2
33	ĠPeg	2
34	ĠBr	2
35	Ġincident	2
36	Ġrecreate	2
37	Ġpend	2
38	Ġintention	2
39	Ġ700	2
40	Ġradial	2
41	rist	2
42	ĠLu	2
43	iber	2
44	ĠTier	2
45	Located	2
46	Ġtread	2
47	Ġnoted	2
48	910	2
49	Ġ66	2
50	ĠStill	2
51	Ġproductions	2
52	Ġaccessibility	2
53	Eh	2
54	Ġtargeting	2
55	Ġcontention	2
56	ĠUrug	2
57	_>	2
58	ĠAstron	2
59	Ġdropping	2
60	Ġ2008	2
61	Ġanti	2
62	stim	2
63	ĠDJ	2
64	Ġsil	2
65	Ess	2
66	sided	2
67	acho	1
68	music	1
69	ĠSmith	1
70	Ġdemographic	1
71	043	1
72	ĠFlake	1
73	olutions	1
74	......	1
75	Ġherd	1
76	Ġpeel	1
77	Ġleases	1
78	Ġabound	1
79	Ġ137	1
80	Ġpoetry	1
81	Ġguy	1
82	ĠSurely	1
83	Social	1
84	azard	1
85	ĠUk	1
86	Ġninja	1
87	ICA	1
88	ilers	1
89	Ġvisually	1
90	raints	1
91	Ġ520	1
92	Ġrant	1
93	ĠSpringer	1
94	olf	1
95	ERA	1
96	Ġdangling	1
97	Ġforbidden	1
98	Ġ138	1
99	Ġanalytics	1
100	Ġ268	1
101	Ġbenefit	1
102	Ġcrashing	1
103	ĠRevised	1
104	Ġresponsibility	1
105	Ġteachers	1
106	ĠKindle	1
107	6666	1
108	ĠAltern	1
109	enough	1
110	075	1
111	lance	1
112	Ġsummed	1
113	Ġbehav	1
114	Ġsurrog	1
115	ĠWeir	1
116	Ġcombos	1
117	ĠEffective	1
118	ĠNets	1
119	ĠTulsa	1
120	Ġcartoons	1
121	Ġinacc	1
122	Ġtrop	1
123	otal	1
124	missive	1
125	Develop	1
126	Ġreplied	1
127	Ġanch	1
128	ayer	4
129	ĠReload	4
130	idding	4
131	729	4
132	Ġmeters	4
133	Ġforcing	4
134	Ġaugment	4
135	ĠCreative	4
136	ĠFailure	3
137	looking	3
138	ĠMinor	3
139	Ġresponsible	3
140	ĠNeural	3
141	iew	3
142	Ġvowel	3
143	ĠPrec	3
144	Ġmention	3
145	Ġslide	3
146	Ġpun	3
147	Ġunf	3
148	ĠCirc	3
149	ompl	3
150	Ġgenesis	3
151	546	3
152	Gene	3
153	Ġwont	3
154	Ã¡n	3
155	eyed	3
156	ĠEXP	3
157	129	3
158	ĠThro	3
159	midt	3
160	ĠChildren	2
161	ĠPeg	2
162	ĠBr	2
163	Ġincident	2
164	Ġrecreate	2
165	Ġpend	2
166	Ġintention	2
167	Ġ700	2
168	Ġradial	2
169	rist	2
170	ĠLu	2
171	iber	2
172	ĠTier	2
173	Located	2
174	Ġtread	2
175	Ġnoted	2
176	910	2
177	Ġ66	2
178	ĠStill	2
179	Ġproductions	2
180	Ġaccessibility	2
181	Eh	2
182	Ġtargeting	2
183	Ġcontention	2
184	ĠUrug	2
185	_>	2
186	ĠAstron	2
187	Ġdropping	2
188	Ġ2008	2
189	Ġanti	2
190	stim	2
191	ĠDJ	2
192	Ġsil	2
193	Ess	2
194	sided	2
195	acho	1
196	music	1
197	ĠSmith	1
198	Ġdemographic	1
199	043	1
200	ĠFlake	1
201	olutions	1
202	......	1
203	Ġherd	1
204	Ġpeel	1
205	Ġleases	1
206	Ġabound	1
207	Ġ137	1
208	Ġpoetry	1
209	Ġguy	1
210	ĠSurely	1
211	Social	1
212	azard	1
213	ĠUk	1
214	Ġninja	1
215	ICA	1
216	ilers	1
217	Ġvisually	1
218	raints	1
219	Ġ520	1
220	Ġrant	1
221	ĠSpringer	1
222	olf	1
223	ERA	1
224	Ġdangling	1
225	Ġforbidden	1
226	Ġ138	1
227	Ġanalytics	1
228	Ġ268	1
229	Ġbenefit	1
230	Ġcrashing	1
231	ĠRevised	1
232	Ġresponsibility	1
233	Ġteachers	1
234	ĠKindle	1
235	6666	1
236	ĠAltern	1
237	enough	1
238	075	1
239	lance	1
240	Ġsummed	1
241	Ġbehav	1
242	Ġsurrog	1
243	ĠWeir	1
244	Ġcombos	1
245	ĠEffective	1
246	ĠNets	1
247	ĠTulsa	1
248	Ġcartoons	1
249	Ġinacc	1
250	Ġtrop	1
251	otal	1
252	missive	1
253	Develop	1
254	Ġreplied	1
255	Ġanch	1
