Low token mapping for neulab/codebert-c
Rank	Token	Frequency
0	income	2
1	locked	2
2	Ġannex	2
3	¶	2
4	android	2
5	doesn	2
6	Ġprot	2
7	ĠPartial	2
8	]"	2
9	Ġday	2
10	Ġic	2
11	Ġplumbing	2
12	voc	2
13	Flo	2
14	ĠKeep	2
15	Ġhistory	2
16	âĢ	2
17	ĠSplit	2
18	ĠIPA	2
19	Ġfacade	2
20	Ġreleased	2
21	oper	2
22	ABLE	2
23	Ġ:(	2
24	2006	2
25	Touch	2
26	Ġscenarios	2
27	Ġconflicts	2
28	jan	2
29	Ġpag	2
30	Ġsimulations	2
31	Working	2
32	92	2
33	mon	2
34	Ġcomputing	2
35	Ġagreement	2
36	ĠSubst	1
37	ĠPhot	1
38	Ġadm	1
39	Ġph	1
40	Will	1
41	ĠStrip	1
42	asters	1
43	ĠLeaf	1
44	Ġalignment	1
45	ĠImplementation	1
46	MED	1
47	Ġuncom	1
48	rom	1
49	Ġlisten	1
50	ĠKind	1
51	Ġboard	1
52	Gre	1
53	CBC	1
54	Ġtyped	1
55	design	1
56	Ġcompound	1
57	ĠEX	1
58	ĠRev	1
59	Hy	1
60	Ġindefinitely	1
61	VICE	1
62	ĠOrig	1
63	102	1
64	Ġdrain	1
65	ĠEl	1
66	Ġnicer	1
67	hop	1
68	Ġhierarchy	1
69	setup	1
70	ĠBIT	1
71	Unt	1
72	ith	1
73	ĠGap	1
74	ĠProjects	1
75	Ġdecides	1
76	Ġcod	1
77	ĠCD	1
78	Ġminimal	1
79	ici	1
80	241	1
81	Ġcer	1
82	Ġunable	1
83	Ġowns	1
84	Ġlifetime	1
85	Ġpoly	1
86	ORY	1
87	ĠCluster	1
88	ĠMisc	1
89	ribute	1
90	Ġinter	1
91	oker	1
92	Ġmanages	1
93	Ġbelieving	1
94	Ġtools	1
95	190	1
96	ĠTransport	1
97	Ġtechnically	1
98	ĠDoing	1
99	aunch	1
100	DEM	1
101	USS	1
102	aun	1
103	2000	1
104	Ġ......	1
105	online	1
106	Ġbeforehand	1
107	ĠIm	1
108	Ġinformative	1
109	Ġconcerning	1
110	Ġforgetting	1
111	Ġcompiling	1
112	oing	1
113	Elf	1
114	ĠRES	1
115	ĠEll	1
116	ĠLight	1
117	ĠSm	1
118	aking	1
119	Ġquit	1
120	itudes	1
121	Ġrely	1
122	supp	1
123	ĠAre	1
124	Ġhammer	1
125	Ġonto	1
126	ĠAdmission	1
127	Ġtheoretical	1
128	income	2
129	locked	2
130	Ġannex	2
131	¶	2
132	android	2
133	doesn	2
134	Ġprot	2
135	ĠPartial	2
136	]"	2
137	Ġday	2
138	Ġic	2
139	Ġplumbing	2
140	voc	2
141	Flo	2
142	ĠKeep	2
143	Ġhistory	2
144	âĢ	2
145	ĠSplit	2
146	ĠIPA	2
147	Ġfacade	2
148	Ġreleased	2
149	oper	2
150	ABLE	2
151	Ġ:(	2
152	2006	2
153	Touch	2
154	Ġscenarios	2
155	Ġconflicts	2
156	jan	2
157	Ġpag	2
158	Ġsimulations	2
159	Working	2
160	92	2
161	mon	2
162	Ġcomputing	2
163	Ġagreement	2
164	ĠSubst	1
165	ĠPhot	1
166	Ġadm	1
167	Ġph	1
168	Will	1
169	ĠStrip	1
170	asters	1
171	ĠLeaf	1
172	Ġalignment	1
173	ĠImplementation	1
174	MED	1
175	Ġuncom	1
176	rom	1
177	Ġlisten	1
178	ĠKind	1
179	Ġboard	1
180	Gre	1
181	CBC	1
182	Ġtyped	1
183	design	1
184	Ġcompound	1
185	ĠEX	1
186	ĠRev	1
187	Hy	1
188	Ġindefinitely	1
189	VICE	1
190	ĠOrig	1
191	102	1
192	Ġdrain	1
193	ĠEl	1
194	Ġnicer	1
195	hop	1
196	Ġhierarchy	1
197	setup	1
198	ĠBIT	1
199	Unt	1
200	ith	1
201	ĠGap	1
202	ĠProjects	1
203	Ġdecides	1
204	Ġcod	1
205	ĠCD	1
206	Ġminimal	1
207	ici	1
208	241	1
209	Ġcer	1
210	Ġunable	1
211	Ġowns	1
212	Ġlifetime	1
213	Ġpoly	1
214	ORY	1
215	ĠCluster	1
216	ĠMisc	1
217	ribute	1
218	Ġinter	1
219	oker	1
220	Ġmanages	1
221	Ġbelieving	1
222	Ġtools	1
223	190	1
224	ĠTransport	1
225	Ġtechnically	1
226	ĠDoing	1
227	aunch	1
228	DEM	1
229	USS	1
230	aun	1
231	2000	1
232	Ġ......	1
233	online	1
234	Ġbeforehand	1
235	ĠIm	1
236	Ġinformative	1
237	Ġconcerning	1
238	Ġforgetting	1
239	Ġcompiling	1
240	oing	1
241	Elf	1
242	ĠRES	1
243	ĠEll	1
244	ĠLight	1
245	ĠSm	1
246	aking	1
247	Ġquit	1
248	itudes	1
249	Ġrely	1
250	supp	1
251	ĠAre	1
252	Ġhammer	1
253	Ġonto	1
254	ĠAdmission	1
255	Ġtheoretical	1
