Low token mapping for neulab/codebert-java
Rank	Token	Frequency
0	Ġrecol	3
1	ĠLast	3
2	Ġlifted	3
3	Ġden	3
4	Ġcomparable	3
5	Ġlinking	3
6	Ġbackward	3
7	standard	3
8	å°Ĩ	3
9	ĠPossible	3
10	Ġdropped	3
11	arms	2
12	PRES	2
13	ĠCONT	2
14	ysics	2
15	Ġsleeper	2
16	rg	2
17	ãĥ³	2
18	repair	2
19	Ġplaceholder	2
20	fast	2
21	ĠRAM	2
22	Ġcrypto	2
23	sol	2
24	Ġrolling	2
25	gc	2
26	Mail	2
27	ĠParameters	2
28	Surv	2
29	ĠFact	2
30	'd	2
31	éļ	2
32	ĠPrec	2
33	general	2
34	Ġyes	2
35	94	2
36	00000000	2
37	VG	2
38	Ġkeeps	2
39	numbered	2
40	ĻĤ	2
41	white	2
42	ĠThey	2
43	Ġcube	2
44	minecraft	2
45	ĠKry	2
46	Ġreduce	2
47	rich	2
48	acqu	2
49	Ġexecutions	2
50	Ġwarm	2
51	Ġunf	2
52	ĠYep	2
53	Ã¨	2
54	Ġresilience	1
55	ĠDigital	1
56	ĠOwner	1
57	umbers	1
58	ĠFlu	1
59	EFF	1
60	Ġinch	1
61	103	1
62	Ġtear	1
63	439	1
64	ĠDig	1
65	ribut	1
66	idences	1
67	idents	1
68	ĠAdditionally	1
69	Minecraft	1
70	Ġwebpage	1
71	Ġsignificantly	1
72	Ġunclear	1
73	Ġexcessively	1
74	vern	1
75	Ġanalyzing	1
76	ĠElements	1
77	Ġquiet	1
78	Ġ42	1
79	ĠFlavor	1
80	odiac	1
81	ĠPod	1
82	ĠFinding	1
83	ĠCALL	1
84	Ġminimize	1
85	good	1
86	Proof	1
87	issued	1
88	Ġrapid	1
89	asper	1
90	Magic	1
91	emption	1
92	Ġsignify	1
93	Ġwidely	1
94	Pol	1
95	Ġafterwards	1
96	Stan	1
97	Trend	1
98	Ġunderstanding	1
99	Ġcontention	1
100	Ġchances	1
101	pend	1
102	paragraph	1
103	erred	1
104	ĠHmm	1
105	ĠTrue	1
106	Another	1
107	ĠGetting	1
108	impro	1
109	breaks	1
110	Ġretrieving	1
111	Ġsquare	1
112	Ġincreases	1
113	ç«	1
114	Ġcle	1
115	ium	1
116	Ġsurvives	1
117	ĠHudson	1
118	EEK	1
119	ĠSpin	1
120	Ġcouldn	1
121	Ġmessed	1
122	ĠMov	1
123	iman	1
124	Ġnatural	1
125	irc	1
126	Peter	1
127	cule	1
128	Ġrecol	3
129	ĠLast	3
130	Ġlifted	3
131	Ġden	3
132	Ġcomparable	3
133	Ġlinking	3
134	Ġbackward	3
135	standard	3
136	å°Ĩ	3
137	ĠPossible	3
138	Ġdropped	3
139	arms	2
140	PRES	2
141	ĠCONT	2
142	ysics	2
143	Ġsleeper	2
144	rg	2
145	ãĥ³	2
146	repair	2
147	Ġplaceholder	2
148	fast	2
149	ĠRAM	2
150	Ġcrypto	2
151	sol	2
152	Ġrolling	2
153	gc	2
154	Mail	2
155	ĠParameters	2
156	Surv	2
157	ĠFact	2
158	'd	2
159	éļ	2
160	ĠPrec	2
161	general	2
162	Ġyes	2
163	94	2
164	00000000	2
165	VG	2
166	Ġkeeps	2
167	numbered	2
168	ĻĤ	2
169	white	2
170	ĠThey	2
171	Ġcube	2
172	minecraft	2
173	ĠKry	2
174	Ġreduce	2
175	rich	2
176	acqu	2
177	Ġexecutions	2
178	Ġwarm	2
179	Ġunf	2
180	ĠYep	2
181	Ã¨	2
182	Ġresilience	1
183	ĠDigital	1
184	ĠOwner	1
185	umbers	1
186	ĠFlu	1
187	EFF	1
188	Ġinch	1
189	103	1
190	Ġtear	1
191	439	1
192	ĠDig	1
193	ribut	1
194	idences	1
195	idents	1
196	ĠAdditionally	1
197	Minecraft	1
198	Ġwebpage	1
199	Ġsignificantly	1
200	Ġunclear	1
201	Ġexcessively	1
202	vern	1
203	Ġanalyzing	1
204	ĠElements	1
205	Ġquiet	1
206	Ġ42	1
207	ĠFlavor	1
208	odiac	1
209	ĠPod	1
210	ĠFinding	1
211	ĠCALL	1
212	Ġminimize	1
213	good	1
214	Proof	1
215	issued	1
216	Ġrapid	1
217	asper	1
218	Magic	1
219	emption	1
220	Ġsignify	1
221	Ġwidely	1
222	Pol	1
223	Ġafterwards	1
224	Stan	1
225	Trend	1
226	Ġunderstanding	1
227	Ġcontention	1
228	Ġchances	1
229	pend	1
230	paragraph	1
231	erred	1
232	ĠHmm	1
233	ĠTrue	1
234	Another	1
235	ĠGetting	1
236	impro	1
237	breaks	1
238	Ġretrieving	1
239	Ġsquare	1
240	Ġincreases	1
241	ç«	1
242	Ġcle	1
243	ium	1
244	Ġsurvives	1
245	ĠHudson	1
246	EEK	1
247	ĠSpin	1
248	Ġcouldn	1
249	Ġmessed	1
250	ĠMov	1
251	iman	1
252	Ġnatural	1
253	irc	1
254	Peter	1
255	cule	1
