Low token mapping for neulab/codebert-javascript
Rank	Token	Frequency
0	UTION	2
1	Ġmass	2
2	ning	2
3	77	2
4	comb	2
5	Summary	2
6	Any	2
7	ĠStores	2
8	ĠPanel	2
9	Weak	2
10	Ġinstall	2
11	Compare	2
12	arks	2
13	QL	2
14	Ġimplement	2
15	Public	2
16	Ġge	2
17	amazon	2
18	ny	2
19	RA	2
20	ITH	2
21	ç«	2
22	Tech	2
23	rew	2
24	Ġdist	2
25	gradient	2
26	560	2
27	Ġ76	2
28	ĠFuture	2
29	Ġrespect	1
30	ĠAppearance	1
31	Ġ\"	1
32	iframe	1
33	Ġleave	1
34	WT	1
35	arty	1
36	Ġextremely	1
37	05	1
38	Ġreach	1
39	Ġmetals	1
40	ISS	1
41	ĠTransform	1
42	Ġadjacent	1
43	Ġdesktop	1
44	ĠCreat	1
45	Ġencl	1
46	ĠMatch	1
47	ime	1
48	Ġtransport	1
49	Ġshutdown	1
50	Ġrecal	1
51	mic	1
52	ĠRPC	1
53	ĠAtt	1
54	ĠActual	1
55	iff	1
56	ä¸ī	1
57	å¸	1
58	Ġ50	1
59	ULAR	1
60	Ġfulfill	1
61	ĠSpectrum	1
62	Ġimplies	1
63	Ġprecaution	1
64	93	1
65	53	1
66	Ġeasier	1
67	Ġthree	1
68	FH	1
69	GU	1
70	Ġavail	1
71	%)	1
72	Ġdefines	1
73	Ġfavorite	1
74	large	1
75	ĠDungeon	1
76	Ġculprit	1
77	ful	1
78	Ġadjusting	1
79	Ġunc	1
80	ĠCAN	1
81	ral	1
82	Ġbought	1
83	oria	1
84	different	1
85	Ġcompiled	1
86	ĠInternet	1
87	ki	1
88	Ġlegacy	1
89	Private	1
90	quest	1
91	ĠIcon	1
92	cko	1
93	380	1
94	Ġlimited	1
95	pelled	1
96	central	1
97	Ġmund	1
98	Act	1
99	Ġ07	1
100	Ġ192	1
101	icka	1
102	Half	1
103	Release	1
104	MET	1
105	Ġrecall	1
106	payment	1
107	/?	1
108	Boot	1
109	itch	1
110	coord	1
111	Ġrecomb	1
112	ĠEven	1
113	Ġpas	1
114	Ġinvocation	1
115	Ġwins	1
116	ĠUnique	1
117	IBLE	1
118	Ġexpiration	1
119	ĠAri	1
120	IJ	1
121	ĠSTR	1
122	Ġgestures	1
123	Cr	1
124	OSED	1
125	505	1
126	risk	1
127	ousel	1
128	UTION	2
129	Ġmass	2
130	ning	2
131	77	2
132	comb	2
133	Summary	2
134	Any	2
135	ĠStores	2
136	ĠPanel	2
137	Weak	2
138	Ġinstall	2
139	Compare	2
140	arks	2
141	QL	2
142	Ġimplement	2
143	Public	2
144	Ġge	2
145	amazon	2
146	ny	2
147	RA	2
148	ITH	2
149	ç«	2
150	Tech	2
151	rew	2
152	Ġdist	2
153	gradient	2
154	560	2
155	Ġ76	2
156	ĠFuture	2
157	Ġrespect	1
158	ĠAppearance	1
159	Ġ\"	1
160	iframe	1
161	Ġleave	1
162	WT	1
163	arty	1
164	Ġextremely	1
165	05	1
166	Ġreach	1
167	Ġmetals	1
168	ISS	1
169	ĠTransform	1
170	Ġadjacent	1
171	Ġdesktop	1
172	ĠCreat	1
173	Ġencl	1
174	ĠMatch	1
175	ime	1
176	Ġtransport	1
177	Ġshutdown	1
178	Ġrecal	1
179	mic	1
180	ĠRPC	1
181	ĠAtt	1
182	ĠActual	1
183	iff	1
184	ä¸ī	1
185	å¸	1
186	Ġ50	1
187	ULAR	1
188	Ġfulfill	1
189	ĠSpectrum	1
190	Ġimplies	1
191	Ġprecaution	1
192	93	1
193	53	1
194	Ġeasier	1
195	Ġthree	1
196	FH	1
197	GU	1
198	Ġavail	1
199	%)	1
200	Ġdefines	1
201	Ġfavorite	1
202	large	1
203	ĠDungeon	1
204	Ġculprit	1
205	ful	1
206	Ġadjusting	1
207	Ġunc	1
208	ĠCAN	1
209	ral	1
210	Ġbought	1
211	oria	1
212	different	1
213	Ġcompiled	1
214	ĠInternet	1
215	ki	1
216	Ġlegacy	1
217	Private	1
218	quest	1
219	ĠIcon	1
220	cko	1
221	380	1
222	Ġlimited	1
223	pelled	1
224	central	1
225	Ġmund	1
226	Act	1
227	Ġ07	1
228	Ġ192	1
229	icka	1
230	Half	1
231	Release	1
232	MET	1
233	Ġrecall	1
234	payment	1
235	/?	1
236	Boot	1
237	itch	1
238	coord	1
239	Ġrecomb	1
240	ĠEven	1
241	Ġpas	1
242	Ġinvocation	1
243	Ġwins	1
244	ĠUnique	1
245	IBLE	1
246	Ġexpiration	1
247	ĠAri	1
248	IJ	1
249	ĠSTR	1
250	Ġgestures	1
251	Cr	1
252	OSED	1
253	505	1
254	risk	1
255	ousel	1
