Low token mapping for neulab/codebert-python
Rank	Token	Frequency
0	ĠINTER	3
1	RFC	3
2	Ġblow	3
3	Ġhappy	3
4	ĠBen	3
5	umber	3
6	raised	2
7	Ġannual	2
8	ĠRefer	2
9	Ġvirt	2
10	ECD	2
11	HR	2
12	luence	2
13	ä¹	2
14	city	2
15	Tokens	2
16	ĠAdditionally	2
17	133	2
18	ique	2
19	Ġ[...]	2
20	lvl	2
21	ĠWatch	2
22	Ġdivergence	2
23	ĠFail	2
24	ĠRew	2
25	BILITY	2
26	tch	2
27	011	2
28	ĠSUM	2
29	Ġradar	2
30	Ġtracks	2
31	Ġmodern	2
32	imates	2
33	Ġprone	2
34	sch	2
35	HHHH	2
36	ea	2
37	Ġscientists	2
38	Ġ:)	2
39	Ġdistortions	2
40	ĠServices	2
41	759	2
42	waters	2
43	iliary	2
44	Ġsport	2
45	jj	2
46	igm	2
47	isher	2
48	ĠEt	2
49	905	1
50	Ġ125	1
51	ĠTeam	1
52	iesta	1
53	Ġdiffers	1
54	ĠUnfortunately	1
55	Early	1
56	DEN	1
57	Ġoperational	1
58	ĠFN	1
59	Ġurged	1
60	NW	1
61	Ġsane	1
62	ISON	1
63	Ġnexus	1
64	ãĢĲ	1
65	inese	1
66	ĠCV	1
67	lot	1
68	Reports	1
69	ĠRocket	1
70	Ġinterrupted	1
71	Ġmoderator	1
72	NY	1
73	ĠGene	1
74	CAST	1
75	Ġpackaging	1
76	cot	1
77	ĠOptical	1
78	ĠObj	1
79	ĠMK	1
80	Ġcoupling	1
81	ĠPRODUCT	1
82	Ġpools	1
83	ĠNEXT	1
84	Ġpasswords	1
85	Ġheterogeneity	1
86	ĠThink	1
87	ĠPoles	1
88	greg	1
89	ĠDirty	1
90	Ġultimately	1
91	Uk	1
92	ona	1
93	Major	1
94	Ġquantify	1
95	Tracker	1
96	Ġcritically	1
97	Ġpenal	1
98	ersed	1
99	Ġhect	1
100	Pretty	1
101	Cube	1
102	raphics	1
103	Ġresort	1
104	Ġcant	1
105	Ġdome	1
106	Ù	1
107	Ġtie	1
108	Sep	1
109	ĠHandling	1
110	Nav	1
111	Ġthreaded	1
112	668	1
113	ĠPHP	1
114	ĠDem	1
115	VI	1
116	305	1
117	Ġlung	1
118	Ġcere	1
119	ird	1
120	igning	1
121	Ġverification	1
122	TW	1
123	ĠIng	1
124	Ho	1
125	Ġsubscribe	1
126	Ġnotebooks	1
127	Ġexperimental	1
128	ĠINTER	3
129	RFC	3
130	Ġblow	3
131	Ġhappy	3
132	ĠBen	3
133	umber	3
134	raised	2
135	Ġannual	2
136	ĠRefer	2
137	Ġvirt	2
138	ECD	2
139	HR	2
140	luence	2
141	ä¹	2
142	city	2
143	Tokens	2
144	ĠAdditionally	2
145	133	2
146	ique	2
147	Ġ[...]	2
148	lvl	2
149	ĠWatch	2
150	Ġdivergence	2
151	ĠFail	2
152	ĠRew	2
153	BILITY	2
154	tch	2
155	011	2
156	ĠSUM	2
157	Ġradar	2
158	Ġtracks	2
159	Ġmodern	2
160	imates	2
161	Ġprone	2
162	sch	2
163	HHHH	2
164	ea	2
165	Ġscientists	2
166	Ġ:)	2
167	Ġdistortions	2
168	ĠServices	2
169	759	2
170	waters	2
171	iliary	2
172	Ġsport	2
173	jj	2
174	igm	2
175	isher	2
176	ĠEt	2
177	905	1
178	Ġ125	1
179	ĠTeam	1
180	iesta	1
181	Ġdiffers	1
182	ĠUnfortunately	1
183	Early	1
184	DEN	1
185	Ġoperational	1
186	ĠFN	1
187	Ġurged	1
188	NW	1
189	Ġsane	1
190	ISON	1
191	Ġnexus	1
192	ãĢĲ	1
193	inese	1
194	ĠCV	1
195	lot	1
196	Reports	1
197	ĠRocket	1
198	Ġinterrupted	1
199	Ġmoderator	1
200	NY	1
201	ĠGene	1
202	CAST	1
203	Ġpackaging	1
204	cot	1
205	ĠOptical	1
206	ĠObj	1
207	ĠMK	1
208	Ġcoupling	1
209	ĠPRODUCT	1
210	Ġpools	1
211	ĠNEXT	1
212	Ġpasswords	1
213	Ġheterogeneity	1
214	ĠThink	1
215	ĠPoles	1
216	greg	1
217	ĠDirty	1
218	Ġultimately	1
219	Uk	1
220	ona	1
221	Major	1
222	Ġquantify	1
223	Tracker	1
224	Ġcritically	1
225	Ġpenal	1
226	ersed	1
227	Ġhect	1
228	Pretty	1
229	Cube	1
230	raphics	1
231	Ġresort	1
232	Ġcant	1
233	Ġdome	1
234	Ù	1
235	Ġtie	1
236	Sep	1
237	ĠHandling	1
238	Nav	1
239	Ġthreaded	1
240	668	1
241	ĠPHP	1
242	ĠDem	1
243	VI	1
244	305	1
245	Ġlung	1
246	Ġcere	1
247	ird	1
248	igning	1
249	Ġverification	1
250	TW	1
251	ĠIng	1
252	Ho	1
253	Ġsubscribe	1
254	Ġnotebooks	1
255	Ġexperimental	1
