Low token mapping for neuralmind/bert-base-portuguese-cased
Rank	Token	Frequency
0	infer	48
1	reflexo	48
2	##ificando	48
3	##izava	47
4	sistemática	47
5	emoções	47
6	Antiguidade	46
7	consecutivas	46
8	proibição	46
9	##nidade	45
10	##duz	45
11	justa	45
12	sus	44
13	Produc	44
14	##douro	44
15	disc	43
16	##lagem	43
17	##mail	43
18	administrado	42
19	tática	42
20	jantar	42
21	renunciar	41
22	converter	41
23	contribuindo	41
24	desenhista	40
25	observações	40
26	defini	40
27	sócios	39
28	ativamente	39
29	##ossa	39
30	##onas	38
31	sequer	38
32	sacerdotes	38
33	controversa	37
34	orgânicos	37
35	pretens	37
36	##gãos	37
37	severamente	36
38	refrig	36
39	Lapa	36
40	Eram	35
41	diretas	35
42	alusão	35
43	##copia	35
44	Contas	34
45	Nilo	34
46	adequ	34
47	quadras	33
48	##Ph	33
49	##quismo	33
50	processadores	33
51	lagar	32
52	setent	32
53	treinamentos	32
54	atacada	31
55	tiv	31
56	##rático	31
57	divindades	30
58	##óvel	30
59	Justiniano	30
60	festiv	29
61	têx	29
62	alterou	29
63	belas	28
64	##élicos	28
65	frios	28
66	Zeus	27
67	escolhas	27
68	##ustão	27
69	missionário	27
70	intu	26
71	##contra	26
72	imor	25
73	abóbada	25
74	monar	25
75	viriam	24
76	pôr	24
77	pedaço	24
78	desapro	23
79	protecção	23
80	prevent	23
81	locomotivas	22
82	##produção	22
83	##gial	21
84	reple	21
85	fogos	20
86	subsistência	20
87	sof	19
88	integrados	19
89	##atre	19
90	catá	18
91	##ymp	18
92	respei	17
93	##ecess	16
94	jurídicas	16
95	mode	15
96	##ileiros	15
97	##cife	14
98	dispon	14
99	princ	13
100	##ciosas	13
101	##pecu	12
102	administ	11
103	axio	11
104	profiss	10
105	##Col	9
106	acol	9
107	##indade	8
108	##jaram	8
109	Depu	7
110	##Ga	7
111	viz	6
112	abandon	6
113	##Sta	5
114	##cialmente	5
115	##gê	4
116	##Fre	4
117	##fias	4
118	##terias	3
119	##formance	3
120	aspec	2
121	##ardim	2
122	##ế	2
123	⟩	2
124	##You	1
125	##т	1
126	##バ	1
127	##Fer	1
128	infer	48
129	reflexo	48
130	##ificando	48
131	##izava	47
132	sistemática	47
133	emoções	47
134	Antiguidade	46
135	consecutivas	46
136	proibição	46
137	##nidade	45
138	##duz	45
139	justa	45
140	sus	44
141	Produc	44
142	##douro	44
143	disc	43
144	##lagem	43
145	##mail	43
146	administrado	42
147	tática	42
148	jantar	42
149	renunciar	41
150	converter	41
151	contribuindo	41
152	desenhista	40
153	observações	40
154	defini	40
155	sócios	39
156	ativamente	39
157	##ossa	39
158	##onas	38
159	sequer	38
160	sacerdotes	38
161	controversa	37
162	orgânicos	37
163	pretens	37
164	##gãos	37
165	severamente	36
166	refrig	36
167	Lapa	36
168	Eram	35
169	diretas	35
170	alusão	35
171	##copia	35
172	Contas	34
173	Nilo	34
174	adequ	34
175	quadras	33
176	##Ph	33
177	##quismo	33
178	processadores	33
179	lagar	32
180	setent	32
181	treinamentos	32
182	atacada	31
183	tiv	31
184	##rático	31
185	divindades	30
186	##óvel	30
187	Justiniano	30
188	festiv	29
189	têx	29
190	alterou	29
191	belas	28
192	##élicos	28
193	frios	28
194	Zeus	27
195	escolhas	27
196	##ustão	27
197	missionário	27
198	intu	26
199	##contra	26
200	imor	25
201	abóbada	25
202	monar	25
203	viriam	24
204	pôr	24
205	pedaço	24
206	desapro	23
207	protecção	23
208	prevent	23
209	locomotivas	22
210	##produção	22
211	##gial	21
212	reple	21
213	fogos	20
214	subsistência	20
215	sof	19
216	integrados	19
217	##atre	19
218	catá	18
219	##ymp	18
220	respei	17
221	##ecess	16
222	jurídicas	16
223	mode	15
224	##ileiros	15
225	##cife	14
226	dispon	14
227	princ	13
228	##ciosas	13
229	##pecu	12
230	administ	11
231	axio	11
232	profiss	10
233	##Col	9
234	acol	9
235	##indade	8
236	##jaram	8
237	Depu	7
238	##Ga	7
239	viz	6
240	abandon	6
241	##Sta	5
242	##cialmente	5
243	##gê	4
244	##Fre	4
245	##fias	4
246	##terias	3
247	##formance	3
248	aspec	2
249	##ardim	2
250	##ế	2
251	⟩	2
252	##You	1
253	##т	1
254	##バ	1
255	##Fer	1
