Low token mapping for tohoku-nlp/bert-base-japanese
Rank	Token	Frequency
0	盗ん	56
1	揃	56
2	宮中	55
3	まじ	55
4	##持つ	54
5	トラス	54
6	ふさ	53
7	帝政	53
8	##忌	53
9	音速	52
10	##建	52
11	終日	51
12	##トロン	51
13	##兄	50
14	出仕	50
15	畿内	49
16	びわ	49
17	宝物	48
18	シュタイン	48
19	違	48
20	##独	47
21	1788	47
22	けれ	47
23	UD	46
24	隆起	46
25	##壺	45
26	念願	45
27	聖歌	45
28	内地	44
29	悲惨	44
30	##さえ	43
31	マクラーレン	43
32	転移	43
33	ヒラリー	42
34	##ドゥル	42
35	楠木	41
36	##こく	41
37	並べる	41
38	正保	40
39	受け取り	40
40	##エンス	40
41	さる	39
42	刻ん	39
43	##濱	39
44	挟む	38
45	##シーズ	38
46	庶子	37
47	ハイデルベルク	37
48	封建	37
49	スナック	36
50	砂浜	36
51	戦況	36
52	GPS	35
53	挙動	35
54	##スティン	35
55	##ナント	34
56	裁定	34
57	チャール	34
58	廃絶	33
59	包装	33
60	軋轢	32
61	##シュヴァ	32
62	体裁	32
63	ジェシー	31
64	##インタ	31
65	首謀	30
66	##囃	30
67	##カンパニー	30
68	1778	29
69	簡便	29
70	受け継	28
71	目指	28
72	##壮	28
73	閉じる	27
74	大勝	27
75	祈る	27
76	兵舎	26
77	揖	26
78	辿	26
79	とどまら	25
80	##コース	25
81	##ソフト	24
82	頻	24
83	##調べ	23
84	##ヒュー	23
85	##迎	22
86	スエズ	22
87	答	21
88	##簡	21
89	掠	21
90	鬼太郎	20
91	ギヨーム	20
92	日成	19
93	##ザム	19
94	頚	18
95	コンタ	18
96	糾	17
97	シュトゥ	17
98	山の	16
99	ありが	15
100	パケット	15
101	ヘッドライト	14
102	##拍	14
103	##烏	13
104	関所	12
105	##赦	12
106	しばし	11
107	娼	10
108	球菌	10
109	##ンガル	9
110	##ートン	8
111	瞑	8
112	##楯	7
113	##鉛	7
114	##コーチ	6
115	##ブッシュ	5
116	##語り	5
117	##募	4
118	##ウンテン	4
119	##ブリッド	3
120	##フォーマンス	3
121	##韋	3
122	##ウォーカー	2
123	##驚	2
124	##ぞれ	1
125	孵	1
126	##ージャー	1
127	##ちら	1
128	盗ん	56
129	揃	56
130	宮中	55
131	まじ	55
132	##持つ	54
133	トラス	54
134	ふさ	53
135	帝政	53
136	##忌	53
137	音速	52
138	##建	52
139	終日	51
140	##トロン	51
141	##兄	50
142	出仕	50
143	畿内	49
144	びわ	49
145	宝物	48
146	シュタイン	48
147	違	48
148	##独	47
149	1788	47
150	けれ	47
151	UD	46
152	隆起	46
153	##壺	45
154	念願	45
155	聖歌	45
156	内地	44
157	悲惨	44
158	##さえ	43
159	マクラーレン	43
160	転移	43
161	ヒラリー	42
162	##ドゥル	42
163	楠木	41
164	##こく	41
165	並べる	41
166	正保	40
167	受け取り	40
168	##エンス	40
169	さる	39
170	刻ん	39
171	##濱	39
172	挟む	38
173	##シーズ	38
174	庶子	37
175	ハイデルベルク	37
176	封建	37
177	スナック	36
178	砂浜	36
179	戦況	36
180	GPS	35
181	挙動	35
182	##スティン	35
183	##ナント	34
184	裁定	34
185	チャール	34
186	廃絶	33
187	包装	33
188	軋轢	32
189	##シュヴァ	32
190	体裁	32
191	ジェシー	31
192	##インタ	31
193	首謀	30
194	##囃	30
195	##カンパニー	30
196	1778	29
197	簡便	29
198	受け継	28
199	目指	28
200	##壮	28
201	閉じる	27
202	大勝	27
203	祈る	27
204	兵舎	26
205	揖	26
206	辿	26
207	とどまら	25
208	##コース	25
209	##ソフト	24
210	頻	24
211	##調べ	23
212	##ヒュー	23
213	##迎	22
214	スエズ	22
215	答	21
216	##簡	21
217	掠	21
218	鬼太郎	20
219	ギヨーム	20
220	日成	19
221	##ザム	19
222	頚	18
223	コンタ	18
224	糾	17
225	シュトゥ	17
226	山の	16
227	ありが	15
228	パケット	15
229	ヘッドライト	14
230	##拍	14
231	##烏	13
232	関所	12
233	##赦	12
234	しばし	11
235	娼	10
236	球菌	10
237	##ンガル	9
238	##ートン	8
239	瞑	8
240	##楯	7
241	##鉛	7
242	##コーチ	6
243	##ブッシュ	5
244	##語り	5
245	##募	4
246	##ウンテン	4
247	##ブリッド	3
248	##フォーマンス	3
249	##韋	3
250	##ウォーカー	2
251	##驚	2
252	##ぞれ	1
253	孵	1
254	##ージャー	1
255	##ちら	1
