Token Mapping Log for bert-base-multilingual-cased
Total BERT Tokens: 62978
Total Maestro Tokens: 176

Mapping for indices 128-255:

Index | Maestro Token | Maestro % | Maestro Count | BERT Token | BERT % | BERT Count
------------------------------------------------------------------------------------------
  128 | NOTE_ON_62    |    0.00% |       154792 | ,          |  0.00% |    1654822
  129 | NOTE_OFF_62   |    0.57% |       154792 | Jahr       |  0.57% |      10959
  130 | NOTE_ON_67    |    1.14% |       151904 | band       |  1.14% |       6209
  131 | NOTE_OFF_67   |    1.70% |       151904 | ##H        |  1.70% |       4445
  132 | NOTE_ON_65    |    2.27% |       148218 | Berg       |  2.27% |       3446
  133 | NOTE_OFF_65   |    2.84% |       148218 | titre      |  2.84% |       2827
  134 | NOTE_ON_60    |    3.41% |       146485 | 45         |  3.41% |       2410
  135 | NOTE_OFF_60   |    3.98% |       146485 | ##pre      |  3.98% |       2090
  136 | NOTE_ON_69    |    4.55% |       144060 | ##än       |  4.55% |       1851
  137 | NOTE_OFF_69   |    5.11% |       144060 | Coast      |  5.11% |       1678
  138 | NOTE_ON_64    |    5.68% |       141980 | ##ile      |  5.68% |       1541
  139 | NOTE_OFF_64   |    6.25% |       141980 | week       |  6.25% |       1411
  140 | NOTE_ON_72    |    6.82% |       136147 | specific   |  6.82% |       1306
  141 | NOTE_OFF_72   |    7.39% |       136147 | ##llen     |  7.39% |       1216
  142 | NOTE_ON_63    |    7.95% |       131161 | ##rig      |  7.96% |       1138
  143 | NOTE_OFF_63   |    8.52% |       131161 | Hell       |  8.52% |       1067
  144 | NOTE_ON_74    |    9.09% |       130051 | ##tet      |  9.09% |       1002
  145 | NOTE_OFF_74   |    9.66% |       130051 | Story      |  9.66% |        951
  146 | NOTE_ON_57    |   10.23% |       128424 | zudem      | 10.23% |        900
  147 | NOTE_OFF_57   |   10.80% |       128424 | publications | 10.80% |        858
  148 | NOTE_ON_58    |   11.36% |       126437 | ##nig      | 11.36% |        815
  149 | NOTE_OFF_58   |   11.93% |       126437 | ##ree      | 11.93% |        778
  150 | NOTE_ON_70    |   12.50% |       124788 | Ek         | 12.50% |        745
  151 | NOTE_OFF_70   |   13.07% |       124788 | ##big      | 13.07% |        711
  152 | NOTE_ON_68    |   13.64% |       124762 | Mannschaften | 13.64% |        680
  153 | NOTE_OFF_68   |   14.20% |       124762 | Herkunft   | 14.20% |        651
  154 | NOTE_ON_55    |   14.77% |       124397 | correct    | 14.77% |        624
  155 | NOTE_OFF_55   |   15.34% |       124397 | Because    | 15.34% |        599
  156 | NOTE_ON_61    |   15.91% |       122697 | ##sic      | 15.91% |        579
  157 | NOTE_OFF_61   |   16.48% |       122697 | ##cán      | 16.48% |        558
  158 | NOTE_ON_71    |   17.05% |       116588 | Croatia    | 17.05% |        539
  159 | NOTE_OFF_71   |   17.61% |       116588 | intégral   | 17.61% |        522
  160 | NOTE_ON_66    |   18.18% |       116410 | ##pée      | 18.18% |        505
  161 | NOTE_OFF_66   |   18.75% |       116410 | allowing   | 18.75% |        490
  162 | NOTE_ON_59    |   19.32% |       114567 | droits     | 19.32% |        474
  163 | NOTE_OFF_59   |   19.89% |       114567 | Elles      | 19.89% |        460
  164 | NOTE_ON_73    |   20.45% |       113463 | ##50       | 20.45% |        446
  165 | NOTE_OFF_73   |   21.02% |       113463 | posee      | 21.02% |        432
  166 | NOTE_ON_76    |   21.59% |       109753 | Fly        | 21.59% |        420
  167 | NOTE_OFF_76   |   22.16% |       109753 | gobernador | 22.16% |        407
  168 | NOTE_ON_56    |   22.73% |       109079 | Gus        | 22.73% |        396
  169 | NOTE_OFF_56   |   23.30% |       109079 | ##hrlich   | 23.30% |        387
  170 | NOTE_ON_75    |   23.86% |       108413 | ##tun      | 23.86% |        377
  171 | NOTE_OFF_75   |   24.43% |       108413 | translator | 24.43% |        367
  172 | NOTE_ON_77    |   25.00% |       107537 | müssen     | 25.00% |        357
  173 | NOTE_OFF_77   |   25.57% |       107537 | chemistry  | 25.57% |        348
  174 | NOTE_ON_53    |   26.14% |       104722 | ##zler     | 26.14% |        339
  175 | NOTE_OFF_53   |   26.70% |       104722 | ##verbandes | 26.70% |        331
  176 | NOTE_ON_79    |   27.27% |        98942 | detail     | 27.27% |        322
  177 | NOTE_OFF_79   |   27.84% |        98942 | rete       | 27.84% |        315
  178 | NOTE_ON_50    |   28.41% |        92426 | ##leti     | 28.41% |        308
  179 | NOTE_OFF_50   |   28.98% |        92426 | ##clut     | 28.98% |        300
  180 | NOTE_ON_52    |   29.55% |        90956 | Tate       | 29.55% |        293
  181 | NOTE_OFF_52   |   30.11% |        90956 | crise      | 30.11% |        286
  182 | NOTE_ON_54    |   30.68% |        84631 | vector     | 30.68% |        279
  183 | NOTE_OFF_54   |   31.25% |        84631 | ##lidad    | 31.25% |        272
  184 | NOTE_ON_78    |   31.82% |        82586 | ##sätze    | 31.82% |        266
  185 | NOTE_OFF_78   |   32.39% |        82586 | Genf       | 32.39% |        260
  186 | NOTE_ON_51    |   32.95% |        81361 | texto      | 32.95% |        254
  187 | NOTE_OFF_51   |   33.52% |        81361 | intense    | 33.52% |        249
  188 | NOTE_ON_81    |   34.09% |        80789 | materia    | 34.09% |        243
  189 | NOTE_OFF_81   |   34.66% |        80789 | marins     | 34.66% |        238
  190 | NOTE_ON_48    |   35.23% |        80623 | Carson     | 35.23% |        233
  191 | NOTE_OFF_48   |   35.80% |        80623 | ##fens     | 35.80% |        228
  192 | NOTE_ON_80    |   36.36% |        79080 | Laws       | 36.36% |        223
  193 | NOTE_OFF_80   |   36.93% |        79080 | grid       | 36.93% |        218
  194 | NOTE_ON_82    |   37.50% |        65820 | Thierry    | 37.50% |        213
  195 | NOTE_OFF_82   |   38.07% |        65820 | ##pik      | 38.07% |        208
  196 | NOTE_ON_49    |   38.64% |        63822 | Hole       | 38.64% |        204
  197 | NOTE_OFF_49   |   39.20% |        63822 | Rotten     | 39.20% |        200
  198 | NOTE_ON_84    |   39.77% |        60671 | ##êtes     | 39.77% |        195
  199 | NOTE_OFF_84   |   40.34% |        60671 | untergebracht | 40.34% |        191
  200 | NOTE_ON_45    |   40.91% |        59781 | ##enna     | 40.91% |        187
  201 | NOTE_OFF_45   |   41.48% |        59781 | ##pred     | 41.48% |        183
  202 | NOTE_ON_83    |   42.05% |        58651 | Agreement  | 42.04% |        179
  203 | NOTE_OFF_83   |   42.61% |        58651 | zieht      | 42.61% |        176
  204 | NOTE_ON_46    |   43.18% |        57611 | Images     | 43.18% |        172
  205 | NOTE_OFF_46   |   43.75% |        57611 | ##NV       | 43.75% |        169
  206 | NOTE_ON_47    |   44.32% |        56740 | ##ths      | 44.32% |        165
  207 | NOTE_OFF_47   |   44.89% |        56740 | ##tase     | 44.89% |        162
  208 | NOTE_ON_43    |   45.45% |        54980 | cassette   | 45.45% |        158
  209 | NOTE_OFF_43   |   46.02% |        54980 | ##rados    | 46.02% |        154
  210 | NOTE_ON_86    |   46.59% |        49666 | ##kaz      | 46.59% |        151
  211 | NOTE_OFF_86   |   47.16% |        49666 | ##lott     | 47.16% |        147
  212 | NOTE_ON_44    |   47.73% |        49438 | ##adora    | 47.73% |        144
  213 | NOTE_OFF_44   |   48.30% |        49438 | ##itur     | 48.30% |        140
  214 | NOTE_ON_85    |   48.86% |        47421 | ##tium     | 48.86% |        138
  215 | NOTE_OFF_85   |   49.43% |        47421 | 1673       | 49.43% |        134
  216 | NOTE_ON_41    |   50.00% |        42115 | Eindhoven  | 50.00% |        131
  217 | NOTE_OFF_41   |   50.57% |        42115 | ##portation | 50.57% |        128
  218 | NOTE_ON_87    |   51.14% |        42012 | understood | 51.14% |        125
  219 | NOTE_OFF_87   |   51.70% |        42012 | détail     | 51.70% |        121
  220 | NOTE_ON_88    |   52.27% |        38677 | Expansion  | 52.27% |        118
  221 | NOTE_OFF_88   |   52.84% |        38677 | totalidad  | 52.84% |        115
