Token Mapping Log for neulab_codebert-java
Total BERT Tokens: 13942
Total Maestro Tokens: 176

Mapping for indices 128-255:

Index | Maestro Token | Maestro % | Maestro Count | BERT Token | BERT % | BERT Count
------------------------------------------------------------------------------------------
  128 | NOTE_ON_62    |    0.00% |       154792 | Ġ          |  0.00% |     590818
  129 | NOTE_OFF_62   |    0.57% |       154792 | able       |  0.57% |       1164
  130 | NOTE_ON_67    |    1.14% |       151904 | Ġresult    |  1.13% |        656
  131 | NOTE_OFF_67   |    1.70% |       151904 | Empty      |  1.71% |        419
  132 | NOTE_ON_65    |    2.27% |       148218 | ER         |  2.27% |        322
  133 | NOTE_OFF_65   |    2.84% |       148218 | Names      |  2.84% |        265
  134 | NOTE_ON_60    |    3.41% |       146485 | Query      |  3.41% |        223
  135 | NOTE_OFF_60   |    3.98% |       146485 | ...        |  3.98% |        190
  136 | NOTE_ON_69    |    4.55% |       144060 | println    |  4.55% |        165
  137 | NOTE_OFF_69   |    5.11% |       144060 | Case       |  5.11% |        148
  138 | NOTE_ON_64    |    5.68% |       141980 | last       |  5.68% |        133
  139 | NOTE_OFF_64   |    6.25% |       141980 | Ġby        |  6.25% |        121
  140 | NOTE_ON_72    |    6.82% |       136147 | ĠService   |  6.82% |        111
  141 | NOTE_OFF_72   |    7.39% |       136147 | Ġarray     |  7.39% |        102
  142 | NOTE_ON_63    |    7.95% |       131161 | Runtime    |  7.95% |         94
  143 | NOTE_OFF_63   |    8.52% |       131161 | fs         |  8.52% |         85
  144 | NOTE_ON_74    |    9.09% |       130051 | ows        |  9.09% |         79
  145 | NOTE_OFF_74   |    9.66% |       130051 | Ġtemplate  |  9.66% |         74
  146 | NOTE_ON_57    |   10.23% |       128424 | content    | 10.23% |         69
  147 | NOTE_OFF_57   |   10.80% |       128424 | Math       | 10.79% |         64
  148 | NOTE_ON_58    |   11.36% |       126437 | ALL        | 11.36% |         60
  149 | NOTE_OFF_58   |   11.93% |       126437 | initial    | 11.94% |         57
  150 | NOTE_ON_70    |   12.50% |       124788 | Virtual    | 12.50% |         54
  151 | NOTE_OFF_70   |   13.07% |       124788 | Super      | 13.07% |         51
  152 | NOTE_ON_68    |   13.64% |       124762 | use        | 13.64% |         48
  153 | NOTE_OFF_68   |   14.20% |       124762 | ĠNumber    | 14.20% |         46
  154 | NOTE_ON_55    |   14.77% |       124397 | ç          | 14.78% |         44
  155 | NOTE_OFF_55   |   15.34% |       124397 | INTER      | 15.34% |         42
  156 | NOTE_ON_61    |   15.91% |       122697 | make       | 15.91% |         40
  157 | NOTE_OFF_61   |   16.48% |       122697 | Details    | 16.48% |         39
  158 | NOTE_ON_71    |   17.05% |       116588 | clude      | 17.04% |         37
  159 | NOTE_OFF_71   |   17.61% |       116588 | aps        | 17.62% |         35
  160 | NOTE_ON_66    |   18.18% |       116410 | CE         | 18.18% |         34
  161 | NOTE_OFF_66   |   18.75% |       116410 | Ġtags      | 18.75% |         32
  162 | NOTE_ON_59    |   19.32% |       114567 | oser       | 19.32% |         31
  163 | NOTE_OFF_59   |   19.89% |       114567 | ured       | 19.89% |         30
  164 | NOTE_ON_73    |   20.45% |       113463 | Ġinclude   | 20.46% |         29
  165 | NOTE_OFF_73   |   21.02% |       113463 | pat        | 21.02% |         28
  166 | NOTE_ON_76    |   21.59% |       109753 | Ġexample   | 21.59% |         27
  167 | NOTE_OFF_76   |   22.16% |       109753 | Ġroll      | 22.16% |         26
  168 | NOTE_ON_56    |   22.73% |       109079 | 255        | 22.73% |         25
  169 | NOTE_OFF_56   |   23.30% |       109079 | ear        | 23.30% |         24
  170 | NOTE_ON_75    |   23.86% |       108413 | raw        | 23.86% |         23
  171 | NOTE_OFF_75   |   24.43% |       108413 | NF         | 24.43% |         22
  172 | NOTE_ON_77    |   25.00% |       107537 | Ġterm      | 25.00% |         21
  173 | NOTE_OFF_77   |   25.57% |       107537 | Ġcollector | 25.57% |         21
  174 | NOTE_ON_53    |   26.14% |       104722 | Ġac        | 26.14% |         20
  175 | NOTE_OFF_53   |   26.70% |       104722 | 21         | 26.70% |         19
  176 | NOTE_ON_79    |   27.27% |        98942 | Ġco        | 27.27% |         19
  177 | NOTE_OFF_79   |   27.84% |        98942 | ector      | 27.84% |         18
  178 | NOTE_ON_50    |   28.41% |        92426 | ĠSecurity  | 28.41% |         17
  179 | NOTE_OFF_50   |   28.98% |        92426 | regation   | 28.98% |         17
  180 | NOTE_ON_52    |   29.55% |        90956 | Journal    | 29.54% |         16
  181 | NOTE_OFF_52   |   30.11% |        90956 | ame        | 30.11% |         16
  182 | NOTE_ON_54    |   30.68% |        84631 | ived       | 30.68% |         15
  183 | NOTE_OFF_54   |   31.25% |        84631 | Under      | 31.25% |         15
  184 | NOTE_ON_78    |   31.82% |        82586 | Ġse        | 31.82% |         14
  185 | NOTE_OFF_78   |   32.39% |        82586 | ĠPrint     | 32.38% |         14
  186 | NOTE_ON_51    |   32.95% |        81361 | ODY        | 32.96% |         14
  187 | NOTE_OFF_51   |   33.52% |        81361 | statement  | 33.52% |         13
  188 | NOTE_ON_81    |   34.09% |        80789 | rap        | 34.09% |         13
  189 | NOTE_OFF_81   |   34.66% |        80789 | 63         | 34.66% |         13
  190 | NOTE_ON_48    |   35.23% |        80623 | Ġhex       | 35.22% |         12
  191 | NOTE_OFF_48   |   35.80% |        80623 | vari       | 35.80% |         12
  192 | NOTE_ON_80    |   36.36% |        79080 | iner       | 36.36% |         11
  193 | NOTE_OFF_80   |   36.93% |        79080 | Trust      | 36.93% |         11
  194 | NOTE_ON_82    |   37.50% |        65820 | ĠBut       | 37.50% |         11
  195 | NOTE_OFF_82   |   38.07% |        65820 | Ġne        | 38.06% |         10
  196 | NOTE_ON_49    |   38.64% |        63822 | Ġcast      | 38.64% |         10
  197 | NOTE_OFF_49   |   39.20% |        63822 | expr       | 39.21% |         10
  198 | NOTE_ON_84    |   39.77% |        60671 | ĠExtract   | 39.77% |         10
  199 | NOTE_OFF_84   |   40.34% |        60671 | ĠRes       | 40.34% |          9
  200 | NOTE_ON_45    |   40.91% |        59781 | Original   | 40.91% |          9
  201 | NOTE_OFF_45   |   41.48% |        59781 | DOWN       | 41.48% |          9
  202 | NOTE_ON_83    |   42.05% |        58651 | LET        | 42.05% |          9
  203 | NOTE_OFF_83   |   42.61% |        58651 | Ġanaly     | 42.61% |          9
  204 | NOTE_ON_46    |   43.18% |        57611 | ĠUri       | 43.18% |          8
  205 | NOTE_OFF_46   |   43.75% |        57611 | inv        | 43.75% |          8
  206 | NOTE_ON_47    |   44.32% |        56740 | family     | 44.32% |          8
  207 | NOTE_OFF_47   |   44.89% |        56740 | Ġrad       | 44.89% |          8
  208 | NOTE_ON_43    |   45.45% |        54980 | apse       | 45.45% |          8
  209 | NOTE_OFF_43   |   46.02% |        54980 | changed    | 46.02% |          7
  210 | NOTE_ON_86    |   46.59% |        49666 | Ġpure      | 46.59% |          7
  211 | NOTE_OFF_86   |   47.16% |        49666 | ces        | 47.16% |          7
  212 | NOTE_ON_44    |   47.73% |        49438 | ĠMax       | 47.73% |          7
  213 | NOTE_OFF_44   |   48.30% |        49438 | Ġevery     | 48.29% |          7
  214 | NOTE_ON_85    |   48.86% |        47421 | ĠMouse     | 48.87% |          6
  215 | NOTE_OFF_85   |   49.43% |        47421 | ĠRec       | 49.43% |          6
  216 | NOTE_ON_41    |   50.00% |        42115 | Reports    | 50.00% |          6
  217 | NOTE_OFF_41   |   50.57% |        42115 | ĠFull      | 50.57% |          6
  218 | NOTE_ON_87    |   51.14% |        42012 | ready      | 51.13% |          6
  219 | NOTE_OFF_87   |   51.70% |        42012 | Ġdeep      | 51.71% |          6
  220 | NOTE_ON_88    |   52.27% |        38677 | Ġgoes      | 52.27% |          6
  221 | NOTE_OFF_88   |   52.84% |        38677 | hex        | 52.84% |          5
  222 | NOTE_ON_42    |   53.41% |        34174 | inch       | 53.41% |          5
  223 | NOTE_OFF_42   |   53.98% |        34174 | Ġrem       | 53.98% |          5
  224 | NOTE_ON_89    |   54.55% |        33893 | Kill       | 54.55% |          5
  225 | NOTE_OFF_89   |   55.11% |        33893 | las        | 55.11% |          5
  226 | NOTE_ON_40    |   55.68% |        33516 | ĠOk        | 55.68% |          5
  227 | NOTE_OFF_40   |   56.25% |        33516 | hole       | 56.25% |          5
  228 | NOTE_ON_36    |   56.82% |        30616 | Ġparallel  | 56.82% |          4
  229 | NOTE_OFF_36   |   57.39% |        30616 | ĠPure      | 57.39% |          4
  230 | NOTE_ON_39    |   57.95% |        30324 | ĠEnt       | 57.95% |          4
  231 | NOTE_OFF_39   |   58.52% |        30324 | ĠWait      | 58.52% |          4
  232 | NOTE_ON_38    |   59.09% |        29290 | gy         | 59.09% |          4
  233 | NOTE_OFF_38   |   59.66% |        29290 | Ġcome      | 59.66% |          4
  234 | NOTE_ON_91    |   60.23% |        25666 | Ġvisited   | 60.23% |          4
  235 | NOTE_OFF_91   |   60.80% |        25666 | Ġhaven     | 60.79% |          4
  236 | NOTE_ON_90    |   61.36% |        25490 | Materials  | 61.36% |          4
  237 | NOTE_OFF_90   |   61.93% |        25490 | Ġtri       | 61.94% |          4
  238 | NOTE_ON_37    |   62.50% |        24974 | Ġthird     | 62.50% |          3
  239 | NOTE_OFF_37   |   63.07% |        24974 | lect       | 63.07% |          3
  240 | NOTE_ON_92    |   63.64% |        22391 | ero        | 63.64% |          3
  241 | NOTE_OFF_92   |   64.20% |        22391 | ĠSoft      | 64.20% |          3
  242 | NOTE_ON_33    |   64.77% |        20509 | Ruby       | 64.78% |          3
  243 | NOTE_OFF_33   |   65.34% |        20509 | Ġdeprecated | 65.34% |          3
  244 | NOTE_ON_93    |   65.91% |        19149 | marked     | 65.91% |          3
  245 | NOTE_OFF_93   |   66.48% |        19149 | ĠON        | 66.48% |          3
  246 | NOTE_ON_35    |   67.05% |        18470 | ĠTech      | 67.04% |          3
  247 | NOTE_OFF_35   |   67.61% |        18470 | Ġmassage   | 67.62% |          3
  248 | NOTE_ON_34    |   68.18% |        18426 | Ġmandatory | 68.18% |          3
  249 | NOTE_OFF_34   |   68.75% |        18426 | 241        | 68.75% |          3
  250 | NOTE_ON_94    |   69.32% |        17062 | odies      | 69.32% |          3
  251 | NOTE_OFF_94   |   69.89% |        17062 | Ġast       | 69.89% |          2
  252 | NOTE_ON_32    |   70.45% |        14373 | Ġolder     | 70.46% |          2
  253 | NOTE_OFF_32   |   71.02% |        14373 | lated      | 71.02% |          2
  254 | NOTE_ON_31    |   71.59% |        12965 | Reward     | 71.59% |          2
  255 | NOTE_OFF_31   |   72.16% |        12965 | Ġsafety    | 72.16% |          2
