Token Mapping Log for neulab_codebert-python
Total BERT Tokens: 18226
Total Maestro Tokens: 176

Mapping for indices 128-255:

Index | Maestro Token | Maestro % | Maestro Count | BERT Token | BERT % | BERT Count
------------------------------------------------------------------------------------------
  128 | NOTE_ON_62    |    0.00% |       154792 | Ġ          |  0.00% |     855898
  129 | NOTE_OFF_62   |    0.57% |       154792 | Ġname      |  0.57% |       1314
  130 | NOTE_ON_67    |    1.14% |       151904 | *          |  1.14% |        669
  131 | NOTE_OFF_67   |    1.70% |       151904 | N          |  1.71% |        429
  132 | NOTE_ON_65    |    2.27% |       148218 | Ġcl        |  2.27% |        318
  133 | NOTE_OFF_65   |    2.84% |       148218 | Ġsource    |  2.84% |        256
  134 | NOTE_ON_60    |    3.41% |       146485 | Ġ--        |  3.41% |        218
  135 | NOTE_OFF_60   |    3.98% |       146485 | ĠX         |  3.98% |        182
  136 | NOTE_ON_69    |    4.55% |       144060 | Ġdevice    |  4.54% |        160
  137 | NOTE_OFF_69   |    5.11% |       144060 | Ġjob       |  5.11% |        141
  138 | NOTE_ON_64    |    5.68% |       141980 | step       |  5.68% |        128
  139 | NOTE_OFF_64   |    6.25% |       141980 | settings   |  6.25% |        115
  140 | NOTE_ON_72    |    6.82% |       136147 | mag        |  6.82% |        106
  141 | NOTE_OFF_72   |    7.39% |       136147 | Ġrec       |  7.39% |         97
  142 | NOTE_ON_63    |    7.95% |       131161 | aml        |  7.96% |         89
  143 | NOTE_OFF_63   |    8.52% |       131161 | Ġdatabase  |  8.52% |         82
  144 | NOTE_ON_74    |    9.09% |       130051 | 01         |  9.09% |         76
  145 | NOTE_OFF_74   |    9.66% |       130051 | TR         |  9.66% |         71
  146 | NOTE_ON_57    |   10.23% |       128424 | place      | 10.23% |         67
  147 | NOTE_OFF_57   |   10.80% |       128424 | pick       | 10.80% |         62
  148 | NOTE_ON_58    |   11.36% |       126437 | ON         | 11.36% |         58
  149 | NOTE_OFF_58   |   11.93% |       126437 | shift      | 11.93% |         54
  150 | NOTE_ON_70    |   12.50% |       124788 | iss        | 12.50% |         51
  151 | NOTE_OFF_70   |   13.07% |       124788 | ie         | 13.07% |         49
  152 | NOTE_ON_68    |   13.64% |       124762 | Ġmove      | 13.63% |         47
  153 | NOTE_OFF_68   |   14.20% |       124762 | master     | 14.20% |         44
  154 | NOTE_ON_55    |   14.77% |       124397 | ew         | 14.77% |         42
  155 | NOTE_OFF_55   |   15.34% |       124397 | Ġmakes     | 15.34% |         40
  156 | NOTE_ON_61    |   15.91% |       122697 | clean      | 15.91% |         38
  157 | NOTE_OFF_61   |   16.48% |       122697 | final      | 16.48% |         36
