Low token mapping for bert-base-chinese
Rank	Token	Frequency
0	##bot	13
1	##atic	13
2	燧	13
3	钝	13
4	輟	13
5	爍	13
6	鹦	13
7	##ject	13
8	leo	13
9	##mn	13
10	て	13
11	樽	13
12	鸽	13
13	邛	13
14	拗	13
15	諦	13
16	3600	13
17	4200	13
18	tel	13
19	##nos	13
20	漪	13
21	what	13
22	home	13
23	嚏	13
24	咁	13
25	拮	13
26	418	13
27	詣	13
28	扼	13
29	„	13
30	鈺	13
31	##hl	13
32	field	13
33	ide	13
34	ec	13
35	燊	13
36	##ping	13
37	application	13
38	湃	13
39	ak	13
40	##ao	13
41	pad	13
42	逅	13
43	帚	13
44	light	13
45	観	13
46	##ath	13
47	##ence	13
48	喂	13
49	骰	13
50	饗	13
51	紓	13
52	漱	13
53	馭	13
54	驥	13
55	##der	13
56	##ster	13
57	鏞	13
58	ol	13
59	♪	13
60	journal	13
61	e1	13
62	369	13
63	睐	13
64	驸	13
65	##tein	13
66	##mit	13
67	##ah	13
68	鈉	13
69	##gl	13
70	嗆	13
71	眺	13
72	焙	13
73	囪	13
74	##page	13
75	杓	13
76	恙	13
77	stay	13
78	辍	13
79	1010	13
80	寝	13
81	鰍	13
82	蝨	13
83	790	13
84	竜	13
85	彿	13
86	扉	13
87	邃	13
88	梟	13
89	岂	13
90	##011	13
91	檗	13
92	radio	13
93	##af	13
94	##other	13
95	晔	13
96	姗	13
97	dc	13
98	2300	13
99	鄢	13
100	炔	13
101	広	13
102	##ull	13
103	舎	13
104	耘	13
105	摊	13
106	works	13
107	##ょう	13
108	槎	13
109	駅	13
110	メ	13
111	##カー	13
112	##セ	13
113	##む	13
114	旷	13
115	##press	13
116	##ack	13
117	023	13
118	娑	13
119	##sha	13
120	##lc	13
121	micro	13
122	##ich	13
123	js	13
124	瀰	13
125	歆	13
126	##data	13
127	sk	13
128	##stle	13
129	茸	13
130	##ets	13
131	缕	13
132	know	13
133	みの	13
134	あり	13
135	転	13
136	墀	13
137	柠	13
138	糯	13
139	铨	13
140	誥	13
141	##rite	13
142	rom	13
143	甾	13
144	鸠	13
145	隽	13
146	蠕	13
147	##tta	13
148	eva	13
149	database	13
150	えて	13
151	にお	13
152	珞	13
153	##lf	13
154	##ena	13
155	##この	13
156	玖	13
157	##ける	13
158	･	13
159	##かり	13
160	g5	13
161	b6	13
162	f5	13
163	g3	13
164	挞	13
165	儋	13
166	##ш	13
167	count	13
168	嚟	13
169	嘧	13
170	餚	12
171	##cel	12
172	歎	12
173	##tter	12
174	020	12
175	巿	12
176	鹉	12
177	##eng	12
178	##ould	12
179	##ques	12
180	濡	12
181	啞	12
182	2200	12
183	story	12
184	##nan	12
185	##ury	12
186	##tch	12
187	窘	12
188	紊	12
189	best	12
190	update	12
191	怠	12
192	##lio	12
193	bus	12
194	616	12
195	瑣	12
196	嫔	12
197	珩	12
198	##120	12
199	湳	12
200	霏	12
201	з	12
202	##ft	12
203	pay	12
204	蔔	12
205	##rial	12
206	member	12
207	##oot	12
208	砥	12
209	詰	12
210	node	12
211	楣	12
212	橱	12
213	帧	12
214	觅	12
215	冪	12
216	罔	12
217	603	12
218	鹊	12
219	##rian	12
220	##rade	12
221	max	12
222	##ses	12
223	515	12
224	熬	12
225	##ino	12
226	皺	12
227	##ious	12
228	埂	12
229	025	12
230	嚼	12
231	晒	12
232	叼	12
233	榷	12
234	恃	12
235	餌	12
236	撻	12
237	417	12
238	弒	12
239	瘴	12
240	419	12
241	猝	12
242	瘍	12
243	50000	12
244	related	12
245	##read	12
246	edited	12
247	■	12
248	谬	12
249	蹲	12
250	##001	12
251	##ert	12
252	index	12
253	閲	12
254	髻	12
255	啜	12
