Low token mapping for bert-base-uncased
Rank	Token	Frequency
0	overly	149
1	gesture	149
2	##ount	149
3	246	149
4	henley	149
5	37th	149
6	touching	149
7	scripted	149
8	simultaneous	149
9	gora	149
10	##hort	149
11	880	149
12	bernardino	149
13	##coat	149
14	residues	149
15	##grant	149
16	440	149
17	mango	149
18	champaign	149
19	248	149
20	willard	149
21	tones	149
22	inspire	149
23	##kiewicz	149
24	##bby	149
25	303	149
26	197	149
27	rolf	149
28	大	149
29	reeve	149
30	##nage	149
31	narratives	149
32	##oting	149
33	covert	149
34	faint	149
35	humming	149
36	quentin	149
37	spray	149
38	##tly	149
39	postdoctoral	149
40	unicode	149
41	##hopper	149
42	dunes	149
43	1630	149
44	augusto	149
45	##dance	149
46	honoring	149
47	gage	149
48	bottles	149
49	haryana	149
50	##ʻ	149
51	acronym	148
52	interlude	148
53	urgent	148
54	subjective	148
55	nyu	148
56	contracting	148
57	paddy	148
58	searches	148
59	elites	148
60	gunner	148
61	telecast	148
62	naturalized	148
63	freak	148
64	resisted	148
65	##vah	148
66	juventus	148
67	envisioned	148
68	embankment	148
69	wandering	148
70	technician	148
71	geschichte	148
72	##ulates	148
73	remixed	148
74	stupid	148
75	##mum	148
76	earnings	148
77	spectator	148
78	##lining	148
79	apostle	148
80	##hane	148
81	canons	148
82	##gled	148
83	bouts	148
84	dexter	148
85	hillary	148
86	##zog	148
87	traitor	148
88	philanthropy	148
89	torque	148
90	paragraph	148
91	priesthood	148
92	##cona	148
93	cain	148
94	dhabi	148
95	estrada	148
96	gardener	148
97	##dek	148
98	sudanese	148
99	doses	148
100	##ggs	148
101	jamal	148
102	superliga	148
103	##nzo	148
104	##lena	148
105	1755	148
106	drained	148
107	##roup	148
108	hitchcock	148
109	stricken	148
110	##achal	148
111	ferreira	148
112	alumnus	148
113	rocking	148
114	hoffmann	148
115	carbonate	148
116	olympiad	148
117	rattle	148
118	scrolls	148
119	descending	147
120	lordship	147
121	susceptible	147
122	determines	147
123	grouping	147
124	##sner	147
125	rosemary	147
126	wrap	147
127	surprisingly	147
128	vegetable	147
129	upward	147
130	##lez	147
131	olympian	147
132	staffed	147
133	horde	147
134	##lford	147
135	melting	147
136	ballistic	147
137	293	147
138	##actic	147
139	commemorating	147
140	kendall	147
141	upgrades	147
142	doubts	147
143	##ppet	147
144	wrecked	147
145	searched	147
146	espana	147
147	asiatic	147
148	trash	147
149	lets	147
150	graphs	147
151	252	147
152	examiner	147
153	cloak	147
154	##ruff	147
155	secondly	147
156	##vington	147
157	##fying	147
158	crusaders	147
159	285	147
160	nestor	147
161	##ication	147
162	fluent	147
163	moderately	147
164	238	147
165	194	147
166	repay	147
167	rouen	147
168	prank	147
169	invasions	147
170	##mith	147
171	##wheel	147
172	situ	147
173	##enstein	147
174	##unds	147
175	topology	147
176	marshes	147
177	inspiring	147
178	##nidae	147
179	##mmel	147
180	billie	147
181	lyle	147
182	waist	147
183	croft	147
184	revolutionaries	147
185	##asian	147
186	##khand	147
187	padua	147
188	##break	147
189	##yed	147
190	jewellery	147
191	##helm	147
192	1752	147
193	bishopric	147
194	##mler	147
195	petersen	147
196	1757	147
197	dinamo	147
198	##ulsion	147
199	mcpherson	147
200	sabah	147
201	grenade	146
202	tulane	146
203	##puri	146
204	omitted	146
205	assert	146
206	terence	146
207	unicorn	146
208	earls	146
209	appellate	146
210	connie	146
211	investing	146
212	##kato	146
213	craters	146
214	basins	146
215	polly	146
216	awakening	146
217	spirituality	146
218	benefited	146
219	distributing	146
220	##slow	146
221	limbs	146
222	##phile	146
223	stockton	146
224	mateo	146
225	kilometre	146
226	kahn	146
227	##wani	146
228	conjecture	146
229	`	146
230	cummings	146
231	canals	146
232	maureen	146
233	connolly	146
234	cerebral	146
235	##gating	146
236	excerpt	146
237	##deck	146
238	accelerator	146
239	##lord	146
240	stephenson	146
241	tesla	146
242	guarded	146
243	motives	146
244	reputed	146
245	mainline	146
246	193	146
247	dividing	146
248	elephants	146
249	maison	146
250	macon	146
251	##ciation	146
252	##ssion	146
253	swallow	146
254	programmed	146
255	##layer	146
