Low token mapping for microsoft/codebert-base-mlm
Rank	Token	Frequency
0	ayer	4
1	Ġsimultaneously	4
2	.).	4
3	ĠSolution	4
4	venue	4
5	Ġthrew	4
6	ichi	4
7	zos	4
8	Ġexhaust	4
9	Ġconsist	4
10	Ġexposure	4
11	Ġcollecting	4
12	Ġhello	4
13	374	4
14	IAN	4
15	Ġadapted	4
16	Posted	4
17	ĠStreaming	4
18	Ġforecasts	4
19	casts	4
20	ership	4
21	ĠActually	4
22	ĠMak	4
23	ĠBabel	4
24	Ġpassage	4
25	ĠChem	4
26	Ġlifetime	4
27	Ġclipped	4
28	aintain	4
29	rast	4
30	hu	4
31	ĠShows	4
32	shown	4
33	Ġunderstand	4
34	Ġunexpectedly	4
35	Screenshot	4
36	209	4
37	ĠWho	4
38	opsis	4
39	ean	4
40	Ġfreeze	4
41	ĠNOR	4
42	speak	4
43	Ġreleasing	4
44	EB	4
45	comings	4
46	Ġsheet	4
47	hz	4
48	Ġvideot	4
49	Ġoutp	4
50	ĠSections	4
51	itching	4
52	Ġhel	4
53	Ġpieces	4
54	uo	4
55	eeds	4
56	formance	4
57	TEXTURE	4
58	ĠMembers	4
59	ĠCGI	4
60	ĠReload	4
61	Ġtechnical	4
62	ĠHyd	4
63	ĠOW	4
64	Ġmor	4
65	arsity	4
66	ĠImplement	4
67	ĠControls	4
68	ĠActiv	4
69	Ġmolecular	4
70	edited	4
71	league	4
72	Ġcac	4
73	COR	4
74	Ġbounded	4
75	colored	4
76	ĠRaid	4
77	elled	4
78	entially	4
79	agents	4
80	Ġpitch	4
81	Ġnotebooks	4
82	ili	4
83	Ble	4
84	Ġsector	4
85	Ġconfuse	4
86	ĠTrying	4
87	Ġ55	4
88	ACTED	4
89	":[	4
90	Ġassessments	4
91	exempt	4
92	Ġtrailer	4
93	ĠFalling	4
94	ince	4
95	iary	4
96	ĠJav	4
97	Ġrequesting	4
98	Ġissu	4
99	ĠGrab	4
100	Ã³n	4
101	eda	4
102	imer	4
103	amd	4
104	hang	4
105	Ġpermitted	4
106	Ġtreats	4
107	ĠMill	4
108	ĠIBM	4
109	2015	4
110	Ġsatellite	4
111	ĠUpgrade	4
112	Ġalternate	4
113	Ġaccurate	4
114	oning	4
115	Ġfive	4
116	Ġtransparent	4
117	Ġdiver	4
118	ĠLIN	4
119	Ġgain	4
120	idding	4
121	Ġresides	4
122	Ġguaranteed	4
123	cdn	4
124	ĠGw	4
125	ĠMacro	4
126	Ġmaintain	4
127	215	4
128	adh	4
129	orc	4
130	Jim	4
131	Ġapparently	4
132	Ġgender	4
133	Ġtad	4
134	Ġuncond	4
135	380	4
136	Ġsubsc	4
137	Ġow	4
138	ĠRegener	4
139	ĠHL	4
140	Ġcum	4
141	ERE	4
142	ĠJavascript	4
143	ORK	4
144	Ġdescend	4
145	ĠPal	4
146	,,	4
147	ĠPed	4
148	Raid	4
149	556	4
150	ĠAnything	4
151	Ġremains	4
152	usive	4
153	Ġmodelling	4
154	ĠConsult	4
155	ĠTM	4
156	Ġgam	4
157	ĠRadio	4
158	ĠClock	4
159	Ġrare	4
160	unal	4
161	Ġtrap	4
162	ĠOcc	4
163	Ġdiss	4
164	imilar	4
165	Ġconverge	4
166	Ġmechanisms	4
167	Ġreceivers	4
168	aaa	4
169	Ġ999	4
170	ĠEverything	4
171	issued	4
172	ĠOrigin	4
173	ĠAbsent	4
174	ĠCPUs	4
175	ĠVisit	4
176	ĠRules	4
177	ĠFinger	4
178	ĠFollow	4
179	Ġmigrated	4
180	729	4
181	Ġsuccessor	4
182	entric	4
183	Ġpsi	4
184	ury	4
185	igg	4
186	Ġsquares	4
187	ĠPhen	4
188	etics	4
189	125	4
190	onement	4
191	Made	4
192	ĠChecking	4
193	Ġlooked	4
194	still	4
195	454	4
196	utt	4
197	Ġdescent	4
198	Ġhypothesis	4
199	ĠPhase	4
200	enemy	4
201	ĠHyper	4
202	"?	4
203	ĠRB	4
204	Ġadmins	4
205	Ġplanned	4
206	379	4
207	ĠAdditionally	4
208	Ġsweeps	4
209	Ġtox	4
210	Ġcircle	4
211	ĠWorking	4
212	Ġcontinuing	4
213	Ġlear	4
214	ĠKeen	4
215	ĠPipe	4
216	ĠGren	4
217	ĠAmer	4
218	ĠArgentina	4
219	eland	4
220	ĠWeather	4
221	ĠMethods	4
222	Ġestablishing	4
223	Ġhitting	4
224	KO	4
225	Three	4
226	Ġprecon	4
227	Ġdark	4
228	uph	4
229	Ġ(=	4
230	ĠTW	4
231	IELD	4
232	eem	4
233	sofar	4
234	Ġfitting	4
235	NB	4
236	rov	4
237	Ġtheory	4
238	189	4
239	OTT	4
240	Ġmeters	4
241	ĠTau	4
242	fed	4
243	ĠSimply	4
244	Ġintentionally	4
245	been	4
246	ledged	4
247	Ġstray	4
248	ĠNE	4
249	ĠKelvin	4
250	english	4
251	appiness	4
252	ĠHence	4
253	Ġgather	4
254	020	4
255	343	4
