Low token mapping for neulab/codebert-c
Rank	Token	Frequency
0	income	2
1	quire	2
2	Ġdeferred	2
3	Ġsubstit	2
4	utions	2
5	Ġcrypt	2
6	ĠZero	2
7	ĠASCII	2
8	ĠListen	2
9	wrote	2
10	loader	2
11	ĠImplement	2
12	Ġinterpol	2
13	Ġcumulative	2
14	interrupted	2
15	Ġinterrupted	2
16	Ġthr	2
17	Ġprim	2
18	Star	2
19	Ġtimed	2
20	Ġexecuting	2
21	monitor	2
22	ĠCategories	2
23	omial	2
24	Ġmaybe	2
25	2013	2
26	ĠBits	2
27	Ġ"#	2
28	locked	2
29	relative	2
30	ĠReserve	2
31	vP	2
32	Ġaccurate	2
33	Avg	2
34	factor	2
35	Center	2
36	Ġker	2
37	Ġmuff	2
38	Ġchop	2
39	amel	2
40	mist	2
41	face	2
42	Ġsurface	2
43	Ġinvolves	2
44	Ġdealing	2
45	Ġintervals	2
46	oom	2
47	MAP	2
48	IK	2
49	ĠChallenge	2
50	chal	2
51	Ġfeedback	2
52	Ġupper	2
53	ĠLD	2
54	opping	2
55	ero	2
56	Ġannex	2
57	Ġenvironments	2
58	ĠSwitch	2
59	ĠGeneric	2
60	Ġad	2
61	Ġdurable	2
62	URN	2
63	ĠTermin	2
64	Ġacquire	2
65	ĠErrors	2
66	ĠSum	2
67	Ġ17	2
68	Ġ19	2
69	xe	2
70	85	2
71	ae	2
72	35	2
73	Ġtracker	2
74	Ġemit	2
75	Ir	2
76	ound	2
77	Ġseed	2
78	Ġå	2
79	ı	2
80	¢	2
81	ŀ	2
82	éĩ	2
83	»	2
84	¶	2
85	Ģ	2
86	ľ	2
87	Ġloops	2
88	Ġstub	2
89	plate	2
90	multiple	2
91	Ġtill	2
92	ĠPolicies	2
93	ĠVault	2
94	atible	2
95	produ	2
96	ĠKEY	2
97	Good	2
98	arest	2
99	Ga	2
100	ussian	2
101	Ġcauses	2
102	Ġproduced	2
103	ressor	2
104	¿	2
105	åħ	2
106	Ġgun	2
107	ĠMongo	2
108	Ġrunner	2
109	Ġchoose	2
110	Cho	2
111	amples	2
112	android	2
113	ĠPublic	2
114	span	2
115	Ġdur	2
116	ĠPlain	2
117	article	2
118	quote	2
119	hr	2
120	video	2
121	Ġprep	2
122	gui	2
123	Ġgui	2
124	Ġarchives	2
125	know	2
126	Ġdevices	2
127	ording	2
128	Ġtranscription	2
129	plays	2
130	'."	2
131	ĠExecution	2
132	ĠPanic	2
133	Answer	2
134	World	2
135	Ġcity	2
136	Street	2
137	gam	2
138	Led	2
139	ferred	2
140	doesn	2
141	Vs	2
142	ict	2
143	ĠLast	2
144	ifiers	2
145	Ġcp	2
146	Ġcleared	2
147	Ġunf	2
148	Ġlight	2
149	oric	2
150	arr	2
151	uda	2
152	Ġapplicable	2
153	Ġexpired	2
154	Ġreincarn	2
155	Ġpartitions	2
156	ĠIO	2
157	DO	2
158	Ġscramble	2
159	Ġsnap	2
160	ulations	2
161	acle	2
162	Ġinstances	2
163	ĠOp	2
164	Ġ([	2
165	Ġplatform	2
166	Ġinstalled	2
167	Ġfif	2
168	Ġprot	2
169	Ġcanvas	2
170	ounded	2
171	Credits	2
172	osit	2
173	ades	2
174	Ġdownload	2
175	Ġimplies	2
176	Ġdecisions	2
177	ĠOut	2
178	Ġpartially	2
179	ially	2
180	ARCH	2
181	ĠSchedule	2
182	Reporting	2
183	Ġreporting	2
184	Ġgranted	2
185	ibr	2
186	Fre	2
187	Ġmedian	2
188	Med	2
189	ounding	2
190	FU	2
191	Ġsoap	2
192	urn	2
193	Ġ50	2
194	ĠVector	2
195	setting	2
196	ĠPartial	2
197	EF	2
198	Problem	2
199	border	2
200	)/	2
201	rank	2
202	ĠRad	2
203	BIT	2
204	fake	2
205	Ġterminated	2
206	Ġquotes	2
207	ĠKill	2
208	Ġcook	2
209	safe	2
210	killed	2
211	umin	2
212	GB	2
213	ĠStan	2
214	PH	2
215	cry	2
216	EE	2
217	Ġdh	2
218	usher	2
219	Ġyears	2
220	ĠDate	2
221	IFF	2
222	Ġod	2
223	zon	2
224	]"	2
225	ĠAlert	2
226	ĠTimes	2
227	Ġcollector	2
228	ĠMem	2
229	umbnails	2
230	you	2
231	DW	2
232	->	2
233	CM	2
234	LOG	2
235	WARNING	2
236	ĠChild	2
237	ĠPrint	2
238	Ġdefines	2
239	Ġ(&	2
240	Ġhref	2
241	ĠCAS	2
242	Ġshutting	2
243	Ġquickly	2
244	umper	2
245	ifiable	2
246	ĠOffer	2
247	yx	2
248	yy	2
249	Click	2
250	Ġki	2
251	tests	2
252	Ġday	2
253	esp	2
254	onse	2
255	Ġdrop	2
