Low token mapping for neulab/codebert-java
Rank	Token	Frequency
0	Ġrecol	3
1	RIC	3
2	ĠInstall	3
3	ĠJav	3
4	ĠEQU	3
5	dp	3
6	Ġcopies	3
7	ĠRFC	3
8	ĠRelative	3
9	far	3
10	ĠCrit	3
11	Ġimportant	3
12	Ġpreserve	3
13	Ġribbon	3
14	ĠREG	3
15	ĠHT	3
16	ĠDO	3
17	PART	3
18	ĠFunctional	3
19	Ġimm	3
20	ĠSU	3
21	Ġports	3
22	Ġoccupied	3
23	THE	3
24	Ġboxes	3
25	Rich	3
26	Studio	3
27	Tok	3
28	equal	3
29	Ġlottery	3
30	tery	3
31	lot	3
32	rea	3
33	ĠCurrent	3
34	Ġconver	3
35	ĠUniform	3
36	ĠLast	3
37	Ġresulting	3
38	Ġsmall	3
39	itance	3
40	Ġasked	3
41	anges	3
42	Ġcopying	3
43	ĠBehavior	3
44	med	3
45	Ġways	3
46	Hig	3
47	hest	3
48	Advertisement	3
49	Ġfragments	3
50	Ġconcept	3
51	concept	3
52	Ġtargets	3
53	ĠTech	3
54	tech	3
55	Ġindication	3
56	ĠTLS	3
57	Ġdispose	3
58	Ġimproper	3
59	Ġbunch	3
60	etermined	3
61	Ġauthenticated	3
62	Ġpermits	3
63	Hell	3
64	Ġprotocols	3
65	Ġomitted	3
66	Ġcerts	3
67	Ġeffects	3
68	Ġaffected	3
69	ĠDiff	3
70	Ġcomputation	3
71	rim	3
72	Ġlifted	3
73	ĠConstruction	3
74	Ġdescending	3
75	Ġexceeded	3
76	ĠElse	3
77	spection	3
78	BM	3
79	-------	3
80	Ctrl	3
81	Ġever	3
82	Ġfactories	3
83	Ġareas	3
84	uv	3
85	olation	3
86	Ġholds	3
87	outs	3
88	prem	3
89	Ġdie	3
90	abling	3
91	How	3
92	spring	3
93	invest	3
94	RP	3
95	Ġindicate	3
96	793	3
97	Ġsmooth	3
98	Topics	3
99	Ġtopics	3
100	UME	3
101	Ġeviction	3
102	OWN	3
103	806	3
104	Correction	3
105	ĠReed	3
106	omon	3
107	Ġinsertion	3
108	Ġden	3
109	Ġroutine	3
110	ĠCodes	3
111	Ġinvoked	3
112	ynchronous	3
113	Ġdoing	3
114	Ġtaking	3
115	SW	3
116	07	3
117	ĠBUT	3
118	èĢ	3
119	ĠAST	3
120	Ġillegal	3
121	Ġrendering	3
122	Ġrename	3
123	ren	3
124	Ġeffective	3
125	FOX	3
126	Ġtheme	3
127	Ġpayoff	3
128	ĠBACK	3
129	Ġge	3
130	Ġmil	3
131	Ġdoubled	3
132	Ġsending	3
133	Ġmassage	3
134	Ġrestoring	3
135	avor	3
136	election	3
137	same	3
138	Ġretained	3
139	ĠTIME	3
140	Ġputting	3
141	Ġdeployed	3
142	interrupted	3
143	priority	3
144	Ġcomparable	3
145	Ġhowever	3
146	sys	3
147	Ġclosest	3
148	turn	3
149	ISION	3
150	Ġcoord	3
151	æĿ	3
152	ĠEX	3
153	hidden	3
154	YP	3
155	again	3
156	ĠSuper	3
157	anti	3
158	06	3
159	Ġfails	3
160	Ġrisk	3
161	Ġfeel	3
162	Ġbuttons	3
163	Dem	3
164	Ġveto	3
165	png	3
166	ĠShow	3
167	played	3
168	ĠBCE	3
169	ĠKeyboard	3
170	ĠEditing	3
171	Ġyellow	3
172	Ġthick	3
173	Ġcorners	3
174	Ġminute	3
175	ĠTimes	3
176	ha	3
177	Ġmoment	3
178	odd	3
179	Ġcheckpoint	3
180	Ġlinking	3
181	Ġredundant	3
182	ĠALP	3
183	asy	3
184	Ġsamples	3
185	Ġconversion	3
186	ĠSTD	3
187	ĠDifference	3
188	imensional	3
189	ĠXP	3
190	ĠPresence	3
191	za	3
192	CM	3
193	Ġdetermined	3
194	FUL	3
195	Ġexecuted	3
196	Ġtransact	3
197	EW	3
198	gets	3
199	Ġslash	3
200	started	3
201	ãģĹ	3
202	ãģ¦	3
203	ãģŁ	3
204	ãģĨ	3
205	ãģ®æ	3
206	Ġasynchronous	3
207	ĠBackup	3
208	Ġbodies	3
209	Ġavoids	3
210	Ġdeleting	3
211	Ġpurpose	3
212	Ġmandatory	3
213	ĠCap	3
214	Ġpeers	3
215	forming	3
216	Ġbackward	3
217	Ġcar	3
218	IFE	3
219	Continue	3
220	Ġcontinuing	3
221	Ġaccepted	3
222	Ġrecommendation	3
223	Ġranking	3
224	Ġrather	3
225	eking	3
226	ira	3
227	Ġscanned	3
228	Ġimmutable	3
229	Ġsoon	3
230	thro	3
231	Ġpathway	3
232	Ġtesting	3
233	creation	3
234	Ġconsider	3
235	members	3
236	Charge	3
237	TV	3
238	ITIES	3
239	Ġalong	3
240	Az	3
241	ĠDepartment	3
242	Ġsubmitted	3
243	Ġunsigned	3
244	Ġ----------------	3
245	Ġenterprise	3
246	Examples	3
247	85	3
248	icators	3
249	Ġsucceeded	3
250	Ġincluded	3
251	treated	3
252	standard	3
253	Ġminimal	3
254	Ġle	3
255	TEXTURE	3
