Low token mapping for neulab/codebert-javascript
Rank	Token	Frequency
0	UTION	2
1	ALE	2
2	Ġirrespective	2
3	Ġinfluenced	2
4	Ġtrimmed	2
5	Ġonto	2
6	Ġrestored	2
7	Alpha	2
8	Ġcleared	2
9	actor	2
10	Ġcreation	2
11	Ġcomes	2
12	ĠDOWN	2
13	Ġrename	2
14	Job	2
15	Completed	2
16	Ġexit	2
17	Ġembedded	2
18	Ġnice	2
19	wise	2
20	ULTS	2
21	ulse	2
22	Tor	2
23	Ġmass	2
24	ĠMat	2
25	Ġinactive	2
26	rx	2
27	Ġ(-	2
28	ĠLoad	2
29	Ġspectrum	2
30	Spect	2
31	Ġpositioning	2
32	You	2
33	Ġincomp	2
34	ibles	2
35	ped	2
36	Ġauthenticated	2
37	ĠNon	2
38	cover	2
39	Reply	2
40	Ġqueues	2
41	wheel	2
42	Ġcoll	2
43	ceed	2
44	Ġmaximum	2
45	Ġunmatched	2
46	ning	2
47	Ġacceptable	2
48	Ġintersection	2
49	idget	2
50	Ġdirective	2
51	å¤§	2
52	Ġfinished	2
53	AC	2
54	Ġfour	2
55	Ġbullet	2
56	Feed	2
57	Ġgithub	2
58	Square	2
59	acket	2
60	Ġpersistence	2
61	ĠConst	2
62	ĠCase	2
63	ĠSearch	2
64	fw	2
65	ttle	2
66	allows	2
67	Ġtre	2
68	76	2
69	77	2
70	Ġtrick	2
71	89	2
72	90	2
73	91	2
74	94	2
75	25	2
76	28	2
77	31	2
78	42	2
79	43	2
80	wiki	2
81	ution	2
82	Ġrecent	2
83	46	2
84	Ġ35	2
85	way	2
86	IS	2
87	ORD	2
88	ARE	2
89	FLAG	2
90	Ġ))	2
91	å¿	2
92	comb	2
93	Ġfact	2
94	PP	2
95	)",	2
96	Ġdev	2
97	Roll	2
98	gar	2
99	Ġnone	2
100	Ġphysical	2
101	matter	2
102	Asset	2
103	Vari	2
104	ĠFlag	2
105	Nav	2
106	II	2
107	acet	2
108	ĠFloat	2
109	ips	2
110	ĠHead	2
111	generated	2
112	Ġconsumers	2
113	Ġconsumer	2
114	..."	2
115	Summary	2
116	Ġaccessing	2
117	bsite	2
118	oct	2
119	ker	2
120	ticket	2
121	Ġretrieving	2
122	IX	2
123	#$	2
124	wire	2
125	?]	2
126	earch	2
127	got	2
128	balance	2
129	play	2
130	Ġsid	2
131	ĠVal	2
132	ORED	2
133	Comments	2
134	ops	2
135	accessible	2
136	Ġmarkup	2
137	Ġoptimize	2
138	Any	2
139	une	2
140	Ġkeeps	2
141	gz	2
142	bn	2
143	Ġskipped	2
144	holders	2
145	car	2
146	speed	2
147	clean	2
148	Ġstyl	2
149	yl	2
150	Fall	2
151	bg	2
152	endered	2
153	Ġbreaks	2
154	Ġdynamically	2
155	Ġcollect	2
156	Ġpseudo	2
157	Ġul	2
158	mented	2
159	ĠTYPE	2
160	ĠStage	2
161	ĠStores	2
162	Ġplan	2
163	general	2
164	ible	2
165	Ġsoon	2
166	Game	2
167	ĠMap	2
168	ĠBlock	2
169	ĠThrow	2
170	Ġdocumentation	2
171	Ġlooks	2
172	Ġ---	2
173	ada	2
174	ae	2
175	ĠYou	2
176	master	2
177	Playing	2
178	Ġtimes	2
179	Cloud	2
180	ĠHello	2
181	Ġmaking	2
182	Ġmu	2
183	Ġcomplexity	2
184	ĠPanel	2
185	Ġng	2
186	{{	2
187	men	2
188	Ġfinish	2
189	ĠDrop	2
190	Common	2
191	TEXT	2
192	ĠLooking	2
193	POS	2
194	ITION	2
195	INS	2
196	states	2
197	nex	2
198	Ġanimate	2
199	Ġkn	2
200	Animal	2
201	ADE	2
202	Ġse	2
203	Ġsheep	2
204	eness	2
205	Ġweak	2
206	Ġweakness	2
207	Weak	2
208	gi	2
209	Ġfully	2
210	Ġdegener	2
211	clusion	2
212	Ġinvoking	2
213	Ġwhatever	2
214	None	2
215	arc	2
216	Ġsymbols	2
217	Ġokay	2
218	Ġle	2
219	Ġaddresses	2
220	fx	2
221	TPS	2
222	Me	2
223	watching	2
224	Ġclasses	2
225	una	2
226	Ġbodies	2
227	Ġverb	2
228	Forest	2
229	Install	2
230	Ġinstall	2
231	Ġdialog	2
232	Ġagent	2
233	US	2
234	Ġintent	2
235	intent	2
236	ĠUtility	2
237	OAD	2
238	Ġ999	2
239	Ġcaption	2
240	Ġcrazy	2
241	ereo	2
242	Ġhierarchical	2
243	Ġcorresponding	2
244	Ġenhanced	2
245	Adapt	2
246	Ġcontexts	2
247	Ġcollapse	2
248	Ġrecursive	2
249	Ġ27	2
250	Ġ21	2
251	Ġlat	2
252	Ġcancel	2
253	Compare	2
254	wild	2
255	ounce	2
