Low token mapping for neulab/codebert-python
Rank	Token	Frequency
0	ĠINTER	3
1	ĠDAY	3
2	Ġproceeding	3
3	illing	3
4	LIB	3
5	uting	3
6	mur	3
7	ĠFut	3
8	Ġrace	3
9	Ġdelivered	3
10	ĠTh	3
11	ĠEST	3
12	ĠMT	3
13	Ġdemos	3
14	Ġstarter	3
15	Ġtrust	3
16	æĺ	3
17	è¦	3
18	Ġdeath	3
19	Ġ;)	3
20	Ġprinter	3
21	OLD	3
22	Ġ"@	3
23	abin	3
24	WHERE	3
25	needs	3
26	Ġ79	3
27	Ġrepositories	3
28	ĠDuring	3
29	Mal	3
30	veh	3
31	ĠSmooth	3
32	Ġgraceful	3
33	Ġcryst	3
34	cry	3
35	chemical	3
36	LAND	3
37	ĠPillar	3
38	Ġaudiences	3
39	51	3
40	lined	3
41	ologies	3
42	flake	3
43	Ġqueues	3
44	ĠQuantum	3
45	Computer	3
46	98	3
47	RFC	3
48	Ġol	3
49	454	3
50	Ġanonymous	3
51	ĠVote	3
52	MRI	3
53	Ġbott	3
54	leneck	3
55	ĠEarth	3
56	ĠHor	3
57	Ġcheckpoints	3
58	Each	3
59	ĠTopic	3
60	ovo	3
61	Ġ119	3
62	Ġfair	3
63	ibilities	3
64	weekly	3
65	Changing	3
66	341	3
67	ĠExpression	3
68	Ġannihil	3
69	Ġchats	3
70	Ġmeg	3
71	ĠCONS	3
72	Ġclub	3
73	club	3
74	Ġsuccessor	3
75	Ġ2003	3
76	Aff	3
77	raphic	3
78	ĠBoot	3
79	ĠUnknown	3
80	92	3
81	you	3
82	MF	3
83	agents	3
84	Ġambig	3
85	ĠCurve	3
86	tops	3
87	Ġlisteners	3
88	Ġwinning	3
89	How	3
90	Ġblast	3
91	Maximum	3
92	Ġ512	3
93	Ġalter	3
94	Ġblow	3
95	ĠOperator	3
96	ĠInstant	3
97	Ġrequesting	3
98	Ġlife	3
99	Ġpartially	3
100	Ġunrecogn	3
101	Ġrecipes	3
102	ĠHeight	3
103	olt	3
104	wall	3
105	ĠFW	3
106	Ġflip	3
107	Ġstated	3
108	Details	3
109	ANY	3
110	Ġforwarded	3
111	ĠContact	3
112	invest	3
113	ategor	3
114	rator	3
115	Ðº	3
116	Ø§ÙĦ	3
117	ÙĬ	3
118	Ø©	3
119	Ùħ	3
120	Ġabundance	3
121	OPS	3
122	oleon	3
123	Examples	3
124	apy	3
125	ĠTAG	3
126	MEN	3
127	Ġresistance	3
128	ĠResistance	3
129	224	3
130	Company	3
131	ĠFamily	3
132	ĠFamilies	3
133	ĠRams	3
134	roph	3
135	bps	3
136	Word	3
137	Ġintersections	3
138	efficients	3
139	Ġtypical	3
140	ĠRegist	3
141	Ġhappy	3
142	rings	3
143	ĠUsually	3
144	Ġdecrease	3
145	Lock	3
146	Ġadvance	3
147	Ġsilently	3
148	ĠAppendix	3
149	pse	3
150	Ġpostp	3
151	Today	3
152	WAY	3
153	"/>	3
154	Ġnomination	3
155	ĠHyd	3
156	Ġ())	3
157	Ġcotton	3
158	eny	3
159	otton	3
160	ĠSymb	3
161	Ġportable	3
162	ĠFiles	3
163	Ġagreement	3
164	Ġexits	3
165	rawl	3
166	ete	3
167	Ġ63	3
168	Ġ29	3
169	ournament	3
170	Ġsales	3
171	323	3
172	Day	3
173	Ġsaying	3
174	agree	3
175	ĠSched	3
176	Ġvideos	3
177	Ġ};	3
178	CRIP	3
179	iser	3
180	Spawn	3
181	awn	3
182	rog	3
183	illary	3
184	oly	3
185	absor	3
186	ĠHeat	3
187	ĠTransmission	3
188	ĠBen	3
189	eding	3
190	ĠMed	3
191	Ġepist	3
192	ĠPh	3
193	ethyl	3
194	Ġpert	3
195	idence	3
196	ĠLead	3
197	Lead	3
198	CDC	3
199	ening	3
200	333	3
201	ĠPearson	3
202	ACA	3
203	342	3
204	Ġcyt	3
205	Ġenriched	3
206	DOS	3
207	ĠPROC	3
208	Ġwall	3
209	killed	3
210	Ġcompeting	3
211	ĠKaplan	3
212	Ġ2008	3
213	Ġintensity	3
214	Individual	3
215	lived	3
216	Ġyeast	3
217	intent	3
218	ĠRA	3
219	Ws	3
220	personal	3
221	ĠBus	3
222	ĠSy	3
223	UK	3
224	Ġinitiation	3
225	Ġreceivers	3
226	Ġamplitude	3
227	usc	3
228	ĠBulk	3
229	122	3
230	Ħ¢	3
231	Ð²	3
232	Ġundes	3
233	Ġoverload	3
234	rob	3
235	umber	3
236	ĠVa	3
237	Ġflank	3
238	Ġstanding	3
239	isks	3
240	ĠMi	3
241	ĠCoh	3
242	stab	3
243	Ġneighbor	3
244	ĠDrop	3
245	Ġcash	3
246	ĠCash	3
247	Ġkeyboard	3
248	Ġfocused	3
249	NetMessage	3
250	Ġgrids	3
251	yang	3
252	cycles	3
253	RESULTS	3
254	ĠCommons	3
255	Further	3
