Low token mapping for neuralmind/bert-base-portuguese-cased
Rank	Token	Frequency
0	infer	48
1	datam	48
2	dirige	48
3	Nel	48
4	tomaram	48
5	fiz	48
6	Muito	48
7	##FI	48
8	##rágio	48
9	precipitação	48
10	descrevendo	48
11	seio	48
12	Amigos	48
13	Humanidade	48
14	lançando	48
15	##gén	48
16	##Á	48
17	pintores	48
18	tamp	48
19	descontinu	48
20	##tavam	48
21	praias	48
22	Armênia	48
23	distingue	48
24	passeio	48
25	cog	48
26	registo	48
27	##istão	48
28	atualização	48
29	transferidos	48
30	Delta	48
31	ileg	48
32	Onde	48
33	grava	48
34	válida	48
35	Apre	48
36	gratuita	48
37	enormes	48
38	globo	48
39	válidos	48
40	domésticos	48
41	Torn	48
42	##ield	48
43	##berry	48
44	mega	48
45	cortar	48
46	pontas	48
47	Bona	48
48	turístico	48
49	##itol	48
50	tentam	48
51	anima	48
52	##rest	48
53	invenção	48
54	batizado	48
55	poderosos	48
56	reflexo	48
57	Trabalhou	48
58	##isório	48
59	##trar	48
60	##ceram	48
61	tomado	48
62	explíci	48
63	reuniram	48
64	moderada	48
65	gravidade	48
66	sólida	48
67	coordenador	48
68	repu	48
69	##mbre	48
70	##hadas	48
71	##ói	48
72	pertencer	48
73	PSDB	48
74	##dic	48
75	fortificações	48
76	##ndente	48
77	insta	48
78	tornava	48
79	##mara	48
80	Sancho	48
81	##nses	48
82	fortific	48
83	estratégica	48
84	ofício	48
85	##cionista	48
86	##éticas	48
87	rin	48
88	name	48
89	##rativas	48
90	##oko	48
91	avançar	48
92	Chel	48
93	espess	48
94	ombro	48
95	acadêmicos	48
96	estarem	48
97	desenvolvidas	48
98	Divers	48
99	Getúlio	48
100	Laran	48
101	mensagens	48
102	máscara	48
103	explos	48
104	interrompido	48
105	Canad	48
106	atmosf	48
107	incentiv	48
108	pseudônimo	48
109	proporcional	48
110	insatisf	48
111	obrigações	48
112	##ificando	48
113	Seul	48
114	Arnaldo	48
115	verificar	48
116	Mong	48
117	##pop	48
118	##olítico	48
119	Bósnia	48
120	polar	48
121	##bios	48
122	consumidores	48
123	substant	48
124	##inamente	48
125	##rinha	48
126	quatorze	48
127	##RT	48
128	NBC	48
129	ingressar	48
130	##lee	48
131	costume	48
132	3000	48
133	mergulho	48
134	múltiplos	48
135	##ficiente	48
136	televisiva	48
137	câmeras	48
138	hotéis	48
139	cavernas	48
140	##rena	48
141	universitária	48
142	Christmas	48
143	Fantasy	48
144	disponibilidade	48
145	volante	48
146	Juventus	48
147	Bolonha	48
148	Simone	48
149	Cláudia	48
150	##BB	48
151	esper	48
152	estatu	48
153	Rossi	48
154	Roth	48
155	empregados	48
156	comerciante	48
157	##ussia	48
158	Shakira	48
159	Maced	48
160	Larry	48
161	##tons	48
162	oxigênio	48
163	##Car	48
164	Etiópia	48
165	abrangente	48
166	Seja	48
167	arroz	48
168	##cab	48
169	##breu	48
170	##izava	47
171	ocidente	47
172	concorrer	47
173	country	47
174	esportiva	47
175	linguística	47
176	##PC	47
177	polon	47
178	retratos	47
179	Barroso	47
180	projeção	47
181	Nuno	47
182	inadequ	47
183	previamente	47
184	desenhado	47
185	##urso	47
186	hist	47
187	Ficou	47
188	revelação	47
189	ovo	47
190	redu	47
191	envolvida	47
192	##nós	47
193	perm	47
194	biologia	47
195	Econômica	47
196	filogen	47
197	##SS	47
198	catalo	47
199	agrad	47
200	desativ	47
201	insti	47
202	##ordem	47
203	Peixoto	47
204	luminos	47
205	##ternidade	47
206	##deia	47
207	surpree	47
208	roub	47
209	ampliação	47
210	prev	47
211	reconhecidas	47
212	navegador	47
213	reduz	47
214	obtida	47
215	elétrons	47
216	equações	47
217	negativas	47
218	Acesso	47
219	tripulantes	47
220	Formou	47
221	Grey	47
222	Xu	47
223	finalistas	47
224	sistemática	47
225	temporária	47
226	arquitet	47
227	cantada	47
228	inscrições	47
229	revolucionários	47
230	permane	47
231	estudado	47
232	libertar	47
233	formula	47
234	desfa	47
235	intermédio	47
236	##vento	47
237	supra	47
238	minor	47
239	capas	47
240	tribunais	47
241	aus	47
242	vasto	47
243	Bonaparte	47
244	grãos	47
245	falava	47
246	autent	47
247	ans	47
248	vínculo	47
249	Gib	47
250	levaria	47
251	regresso	47
252	castelhano	47
253	chamam	47
254	deser	47
255	significativos	47
