Low token mapping for tohoku-nlp/bert-base-japanese
Rank	Token	Frequency
0	盗ん	56
1	別途	56
2	##ナイダー	56
3	##こみ	56
4	God	56
5	大通	56
6	JIS	56
7	険	56
8	##栖	56
9	胆	56
10	##脂	56
11	##ビック	56
12	##ベツ	56
13	はね	56
14	Yahoo	56
15	併記	56
16	築く	56
17	モノクロ	56
18	##ストリ	56
19	みん	56
20	諡	56
21	ゲリラ	56
22	デリー	56
23	探知	56
24	撮っ	56
25	映し	56
26	またがる	56
27	##畜	56
28	アベニュー	56
29	廠	56
30	##ッツァ	56
31	構える	56
32	応永	56
33	喬	56
34	##刹	56
35	チャイナ	56
36	廊下	56
37	##除	56
38	慶喜	56
39	受領	56
40	噴出	56
41	叫び	56
42	##障	56
43	急進	56
44	##ロア	56
45	460	56
46	バッグ	56
47	閑	56
48	##ーナー	56
49	was	56
50	驚き	56
51	仏像	56
52	##ます	56
53	にっぽん	56
54	祝賀	56
55	gl	56
56	新庄	56
57	マルセイユ	56
58	清算	56
59	的中	56
60	即興	56
61	ネーデルラント	56
62	毛皮	56
63	陶器	56
64	気流	56
65	野手	56
66	長寿	56
67	ムス	56
68	##ニウム	56
69	サイパン	56
70	サンティアゴ	56
71	伐採	56
72	##TC	56
73	##フティ	56
74	イブニング	56
75	物事	56
76	##拳	56
77	揃	56
78	宮島	56
79	のぼる	56
80	締	56
81	##刃	56
82	尹	56
83	示	56
84	##ideo	56
85	里見	56
86	アルジェリア	56
87	碑文	56
88	##譚	56
89	##デア	56
90	貧乏	56
91	油圧	56
92	眼球	56
93	##ショナル	56
94	ダイレクト	56
95	行程	56
96	有田	56
97	矢作	56
98	河南	56
99	Bay	56
100	不定	56
101	島内	56
102	エンゼルス	56
103	mph	56
104	ロザ	56
105	隠岐	56
106	##シック	56
107	##ハイン	56
108	雍	56
109	一関	56
110	巨星	56
111	ローソン	56
112	下山	56
113	キツネ	56
114	##崗	56
115	報知	56
116	麻布	56
117	宇文	56
118	##リアーズ	56
119	軍服	56
120	TN	56
121	##秦	56
122	##斜	56
123	ソユーズ	56
124	狭山	55
125	相応	55
126	協調	55
127	健在	55
128	留まる	55
129	共感	55
130	ちなむ	55
131	慎重	55
132	##押	55
133	勤労	55
134	大小	55
135	とどめ	55
136	売ら	55
137	共鳴	55
138	賄	55
139	苦しん	55
140	##ough	55
141	リベラル	55
142	手当	55
143	即ち	55
144	##ランダ	55
145	親しい	55
146	##轄	55
147	攻防	55
148	発進	55
149	課金	55
150	渡さ	55
151	マッサージ	55
152	杉田	55
153	武雄	55
154	宮中	55
155	ガイドライン	55
156	モンキー	55
157	##シロ	55
158	派出	55
159	##易	55
160	接着	55
161	閣議	55
162	##ブレー	55
163	モーリ	55
164	GN	55
165	##ゼス	55
166	1834	55
167	##app	55
168	##組み	55
169	1827	55
170	シネ	55
171	アウグスト	55
172	蹄	55
173	穀物	55
174	討	55
175	陣地	55
176	方位	55
177	ケネス	55
178	こめ	55
179	##哲	55
180	##顕	55
181	井口	55
182	##璃	55
183	見習い	55
184	ヒール	55
185	ぎん	55
186	ステファ	55
187	経典	55
188	じゃん	55
189	216	55
190	唱える	55
191	絡み	55
192	防犯	55
193	ヘラク	55
194	突出	55
195	支庁	55
196	以北	55
197	おもに	55
198	債	55
199	積分	55
200	やろ	55
201	テクニカル	55
202	ミック	55
203	左足	55
204	やり取り	55
205	##UP	55
206	断熱	55
207	251	55
208	テュー	55
209	##シナ	55
210	モザイク	55
211	サンゴ	55
212	##たし	55
213	##リッシュ	55
214	トロイ	55
215	Jac	55
216	サウスカロライナ	55
217	拒ん	55
218	党内	55
219	担	55
220	777	55
221	受け取る	55
222	##パーク	55
223	##じる	55
224	呼応	55
225	おれ	55
226	続投	55
227	数える	55
228	UNIX	55
229	GUI	55
230	神官	55
231	まじ	55
232	柳沢	55
233	インテリア	55
234	##ville	55
235	255	55
236	霊園	55
237	##触	55
238	コンラート	55
239	##残し	55
240	##デック	55
241	1763	55
242	1819	55
243	プエ	55
244	発光	55
245	ウェスタン	55
246	月山	55
247	両面	55
248	##匠	55
249	##ロメ	55
250	梵	55
251	走者	55
252	蛍光	55
253	##潰	55
254	討つ	55
255	##グラス	55
